word,word_count,df,doc_len,idf,tf,tf-idf,,,,,,,,
bjp,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
bonsu,1,1,34,3.225050696,0.029411765,0.094854432,,,,,,,,
bro,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
campaign,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
contain,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
district,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
friendship,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
govt,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
group,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
help,2,2,24,2.9240207,0.083333333,0.243668392,,,,,,,,
leader,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
moral,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
news,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
ombrit,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
plan,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
policy,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
politics,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
post,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
private,2,2,10,2.9240207,0.2,0.58480414,,,,,,,,
self,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
sorry,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
sound,1,1,24,3.225050696,0.041666667,0.134377112,,,,,,,,
specealy,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
study,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
support,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
system,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
telent,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
territory,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
union,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
worker,1,1,27,3.225050696,0.037037037,0.119446322,,,,,,,,
youtuber,2,2,17,2.9240207,0.117647059,0.344002435,,,,,,,,
|,5,5,47,2.526080692,0.106382979,0.268731988,,,,,,,,
अ'बर',1,1,41,3.225050696,0.024390244,0.078659773,,,,,,,,
अँगव,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
अंग,13,13,56,2.111107344,0.232142857,0.490078491,,,,,,,,
अंगकव,4,4,20,2.622990705,0.2,0.524598141,,,,,,,,
अंगक्व,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
अंगखव,4,4,21,2.622990705,0.19047619,0.499617277,,,,,,,,
अंगखौ,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
अंगी,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
अंजलि,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
अकाउंट,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
अखा,2,2,66,2.9240207,0.03030303,0.088606688,,,,,,,,
अखाया,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
अखोराङाव,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
अख्रा,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
अख्रां,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
अख्रांआव,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
अग्नि,14,14,69,2.07892266,0.202898551,0.421810395,,,,,,,,
अदियालै,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
अनंगा,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
अनगा,5,5,57,2.526080692,0.087719298,0.221586026,,,,,,,,
अनगायै,2,2,27,2.9240207,0.074074074,0.216594126,,,,,,,,
अनसूला,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
अनागारि,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
अनिमे,3,3,15,2.747929441,0.2,0.549585888,,,,,,,,
अपलोड,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
अफसर,2,2,11,2.9240207,0.181818182,0.531640127,,,,,,,,
अफिस,1,1,15,3.225050696,0.066666667,0.21500338,,,,,,,,
अफिसारफ्रालाय,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
अफ्रीका,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
अबदान,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
अबरनि,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
अबस्थाावसो,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
अबार,2,2,36,2.9240207,0.055555556,0.162445594,,,,,,,,
अबे,2,2,21,2.9240207,0.095238095,0.278478162,,,,,,,,
अबेआव,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
अबेनिफ्राय,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
अबेयाव,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
अबेहाय,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
अब्ला,2,2,87,2.9240207,0.022988506,0.067218867,,,,,,,,
"अब्लाथ,",1,1,62,3.225050696,0.016129032,0.052016947,,,,,,,,
अब्लानो,1,1,52,3.225050696,0.019230769,0.062020206,,,,,,,,
अब्लासो,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
अभषेकआ,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
अभार,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
अभिषेक,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
अमरय,2,2,9,2.9240207,0.222222222,0.649782378,,,,,,,,
अमरसिंह,3,1,62,3.225050696,0.048387097,0.15605084,,,,,,,,
अमा,10,9,104,2.270808187,0.096153846,0.218346941,,,,,,,,
अमाखौ,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
अमाफोर,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
अमाबुनदाफोरनि,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
अमेरिका,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
अम्बू,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
अर,2,2,23,2.9240207,0.086956522,0.25426267,,,,,,,,
अरखांलायबाय,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
अरगेनिक,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
अरगोन,1,1,15,3.225050696,0.066666667,0.21500338,,,,,,,,
अरजानाइ,1,1,18,3.225050696,0.055555556,0.179169483,,,,,,,,
अरजानाथो,1,1,21,3.225050696,0.047619048,0.153573843,,,,,,,,
अरजानानै,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
अरजानाय,3,3,27,2.747929441,0.111111111,0.305325493,,,,,,,,
अरजानायखाय,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
अरजानायसो,2,2,12,2.9240207,0.166666667,0.487336783,,,,,,,,
अरनो,3,3,66,2.747929441,0.045454545,0.124905884,,,,,,,,
अरबाय,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
अरलायबाय,4,4,48,2.622990705,0.083333333,0.218582559,,,,,,,,
अरसनो,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
अरसुना,1,1,21,3.225050696,0.047619048,0.153573843,,,,,,,,
अल'खदखौ,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
अलगथ,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
अलशी,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
अलसी,2,2,12,2.9240207,0.166666667,0.487336783,,,,,,,,
अवान,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
अशोक,5,4,57,2.622990705,0.087719298,0.230086904,,,,,,,,
असख,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
असम,2,2,15,2.9240207,0.133333333,0.389869427,,,,,,,,
असमिया,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
असलिल,1,1,20,3.225050696,0.05,0.161252535,,,,,,,,
असायबफोर,1,1,18,3.225050696,0.055555556,0.179169483,,,,,,,,
असेबायदि,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
अै,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आ,178,178,1153,0.974630694,0.154379879,0.150463368,,,,,,,,
आँगणि,3,3,21,2.747929441,0.142857143,0.392561349,,,,,,,,
आँगनव,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आं,69,68,468,1.392541783,0.147435897,0.205310648,,,,,,,,
आंखौ,6,6,29,2.446899446,0.206896552,0.506255058,,,,,,,,
आंग,76,76,404,1.344237104,0.188118812,0.252876287,,,,,,,,
आंगणि,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आंगन,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आंगनई,2,2,11,2.9240207,0.181818182,0.531640127,,,,,,,,
आंगना,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आंगनी,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
आंगी,2,2,8,2.9240207,0.25,0.731005175,,,,,,,,
आंजों,5,5,30,2.526080692,0.166666667,0.421013449,,,,,,,,
आंना,2,2,31,2.9240207,0.064516129,0.188646497,,,,,,,,
आंनि,19,19,87,1.946297095,0.218390805,0.425053389,,,,,,,,
आंनिबा,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आंनो,11,11,48,2.183658011,0.229166667,0.500421628,,,,,,,,
आंलतारियाव,2,2,8,2.9240207,0.25,0.731005175,,,,,,,,
आंहा,7,7,42,2.379952656,0.166666667,0.396658776,,,,,,,,
आं।,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
आइ,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
आइए,3,3,15,2.747929441,0.2,0.549585888,,,,,,,,
आइथिं,2,2,30,2.9240207,0.066666667,0.194934713,,,,,,,,
आइसक्रीम,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
आई,3,3,21,2.747929441,0.142857143,0.392561349,,,,,,,,
आईआ,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आईआईट,2,2,11,2.9240207,0.181818182,0.531640127,,,,,,,,
आईपीएल,4,4,16,2.622990705,0.25,0.655747676,,,,,,,,
आईपीएस,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आउ,3,3,23,2.747929441,0.130434783,0.358425579,,,,,,,,
आउद,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आए,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आओ,4,4,29,2.622990705,0.137931034,0.361791821,,,,,,,,
आखल,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आखलनि,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
आखला,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
आखलानो,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
आखलानो‌,1,1,22,3.225050696,0.045454545,0.146593213,,,,,,,,
आखलाबो,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
आखाइ,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आखाय,3,3,41,2.747929441,0.073170732,0.201068008,,,,,,,,
आखुखौ,2,2,34,2.9240207,0.058823529,0.172001218,,,,,,,,
आखुखौसो,2,2,30,2.9240207,0.066666667,0.194934713,,,,,,,,
आखुनि,1,1,38,3.225050696,0.026315789,0.084869755,,,,,,,,
आगक्व,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आगनी,2,2,11,2.9240207,0.181818182,0.531640127,,,,,,,,
आगान,4,4,57,2.622990705,0.070175439,0.184069523,,,,,,,,
आगोनलिफ्रायनो,1,1,21,3.225050696,0.047619048,0.153573843,,,,,,,,
आगोल,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
आगोलनि,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
आगोलावनो,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
आग्रुबादि,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
आथिखाल,1,1,26,3.225050696,0.038461538,0.124040411,,,,,,,,
आथिङाव,1,1,52,3.225050696,0.019230769,0.062020206,,,,,,,,
आदरस,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
आदा,6,6,53,2.446899446,0.113207547,0.277007484,,,,,,,,
आदामोन,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
आदुवा,2,2,29,2.9240207,0.068965517,0.2016566,,,,,,,,
आदै,3,3,27,2.747929441,0.111111111,0.305325493,,,,,,,,
आदैमोन।,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
आनजाद,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आनजादआव,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आनसाबस्राइब,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आनो,7,7,75,2.379952656,0.093333333,0.222128915,,,,,,,,
आपेल,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
आफलद,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
आफा,2,2,9,2.9240207,0.222222222,0.649782378,,,,,,,,
आफातखौ,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
आफाद,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
आफादआ,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
आफादआव,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
आफादगिरि,1,1,41,3.225050696,0.024390244,0.078659773,,,,,,,,
आफादफोरा,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
आफाय,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आफाया,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आफिस,7,7,45,2.379952656,0.155555556,0.370214858,,,,,,,,
आबसुआ,2,2,15,2.9240207,0.133333333,0.389869427,,,,,,,,
आबसुनि,2,2,23,2.9240207,0.086956522,0.25426267,,,,,,,,
आबु,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
आबुआ,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
आब्वी,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
आमेरिका,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आमेरिकान,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आमोलाव,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
आयं,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
आया,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आयु,2,2,16,2.9240207,0.125,0.365502588,,,,,,,,
आर,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
आरज,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आरजियो,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
आरननाइखौ,1,1,18,3.225050696,0.055555556,0.179169483,,,,,,,,
आरनाय,3,2,31,2.9240207,0.096774194,0.282969745,,,,,,,,
आरनि,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
आरव,8,8,55,2.321960709,0.145454545,0.33773974,,,,,,,,
आरवीनव,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
आरि,1,1,35,3.225050696,0.028571429,0.092144306,,,,,,,,
आरो,36,34,626,1.693571779,0.057507987,0.097393904,,,,,,,,
आरोलै,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आरौ,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
आर्ट,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
आर्मी,3,3,15,2.747929441,0.2,0.549585888,,,,,,,,
आलादा,3,3,61,2.747929441,0.049180328,0.135144071,,,,,,,,
आलाय,3,3,46,2.747929441,0.065217391,0.17921279,,,,,,,,
आलासिफोरनि,1,1,24,3.225050696,0.041666667,0.134377112,,,,,,,,
आलु,4,4,37,2.622990705,0.108108108,0.283566563,,,,,,,,
आलुफोर,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
आलू,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
आलो,1,1,21,3.225050696,0.047619048,0.153573843,,,,,,,,
आव,32,31,338,1.733689002,0.094674556,0.164136237,,,,,,,,
आव?जाजाला,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
आवग्रिना,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
आवथ,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
आवल,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
आवसो,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
आश्रम,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
आसल,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
आसलते,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
आसा,3,3,28,2.747929441,0.107142857,0.294421012,,,,,,,,
आसागैयै,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
आसाम,4,4,48,2.622990705,0.083333333,0.218582559,,,,,,,,
आसामआव,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
आसामनि,2,2,15,2.9240207,0.133333333,0.389869427,,,,,,,,
आसार,2,2,30,2.9240207,0.066666667,0.194934713,,,,,,,,
आसि,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
आसिफ,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
आसो,3,3,29,2.747929441,0.103448276,0.284268563,,,,,,,,
आसोल,2,2,22,2.9240207,0.090909091,0.265820064,,,,,,,,
इ.एम,2,2,35,2.9240207,0.057142857,0.167086897,,,,,,,,
इ.एम.,2,2,13,2.9240207,0.153846154,0.449849339,,,,,,,,
इंग्लिश,2,2,14,2.9240207,0.142857143,0.417717243,,,,,,,,
इंग्लैंड,2,2,15,2.9240207,0.133333333,0.389869427,,,,,,,,
इंजीनियर,2,2,10,2.9240207,0.2,0.58480414,,,,,,,,
इंटरनेट,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
इंटरव्यू,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
इंडियन,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
इंडिया,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
इंराजि,2,2,33,2.9240207,0.060606061,0.177213376,,,,,,,,
इंलिस,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
इउ,4,4,133,2.622990705,0.030075188,0.078886938,,,,,,,,
इउनिभारसिटि,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
इउपिपिएलनि,1,1,28,3.225050696,0.035714286,0.115180382,,,,,,,,
इएम,2,2,13,2.9240207,0.153846154,0.449849339,,,,,,,,
इजिनियर,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
इडली,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
इन्डोनेशियाई,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
इबर,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
इयुनाव,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
इलेकसनआव,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
इसलाम,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
इसारा,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
इसु,1,1,38,3.225050696,0.026315789,0.084869755,,,,,,,,
इसे,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
इसोर,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
इसोरा,1,1,21,3.225050696,0.047619048,0.153573843,,,,,,,,
ईरफ़ोन,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
ईस्टर्न,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
उंडवद्व,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
उंदुबई,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
उइद्र,1,1,52,3.225050696,0.019230769,0.062020206,,,,,,,,
उकरीअने,2,2,14,2.9240207,0.142857143,0.417717243,,,,,,,,
उखैहाबनाय,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
उग्रपंत्ती,3,3,16,2.747929441,0.1875,0.51523677,,,,,,,,
उग्रपनयी,1,1,3,3.225050696,0.333333333,1.075016899,,,,,,,,
उग्रपन्थि,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
उजिथोंसै,2,2,13,2.9240207,0.153846154,0.449849339,,,,,,,,
उठिनाओ,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
उण्डूआख्वी,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
उथ्रिसारनो,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
उदां,5,5,65,2.526080692,0.076923077,0.194313899,,,,,,,,
उदानगुरिआव,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
उदालगुरि,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
उदिस,1,1,20,3.225050696,0.05,0.161252535,,,,,,,,
उदैखौ,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
उन,1,1,48,3.225050696,0.020833333,0.067188556,,,,,,,,
उनदुना,2,2,31,2.9240207,0.064516129,0.188646497,,,,,,,,
उनदुनाय,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
उनदुनो,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
उनदै,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
उनादा,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
उनाव,6,6,82,2.446899446,0.073170732,0.179041423,,,,,,,,
उनावसो,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
उनावहाय,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
उन्ददों,1,1,2,3.225050696,0.5,1.612525348,,,,,,,,
