task_1,word,word_count,df,doc_len,idf,tf,tf-idf,,,,,,,,,,,,,
HOF,অসমৰ,65,64,923,1.799771184,0.070422535,0.12674445,,,,,,,,,,,,,
HOF,এটা,72,64,864,1.799771184,0.083333333,0.149980932,,,,,,,,,,,,,
HOF,মানুহ,69,64,851,1.799771184,0.081081081,0.145927393,,,,,,,,,,,,,
NOT,",",68,63,954,1.806610608,0.071278826,0.128773083,,,,,,,,,,,,,
NOT,বুলি,69,63,959,1.806610608,0.071949948,0.129985539,,,,,,,,,,,,,
HOF,নিজৰ,68,62,921,1.813559468,0.07383279,0.133900156,,,,,,,,,,,,,
HOF,নেকি,63,62,567,1.813559468,0.111111111,0.201506608,,,,,,,,,,,,,
NOT,হৈ,65,61,923,1.820621323,0.070422535,0.128212769,,,,,,,,,,,,,
HOF,গেদা,76,60,688,1.827799907,0.110465116,0.201908129,,,,,,,,,,,,,
HOF,যে,57,57,767,1.850076302,0.074315515,0.137489373,,,,,,,,,,,,,
NOT,এটা,60,57,838,1.850076302,0.071599045,0.132463697,,,,,,,,,,,,,
HOF,কৰা,58,56,846,1.857763131,0.06855792,0.127364375,,,,,,,,,,,,,
HOF,নে,56,55,605,1.865588468,0.092561983,0.172682569,,,,,,,,,,,,,
HOF,যদি,57,55,743,1.865588468,0.076716016,0.143120515,,,,,,,,,,,,,
HOF,অসমত,56,54,755,1.873557398,0.074172185,0.138965847,,,,,,,,,,,,,
HOF,লগত,55,53,686,1.881675288,0.080174927,0.150863179,,,,,,,,,,,,,
HOF,হব,56,53,575,1.881675288,0.097391304,0.183258811,,,,,,,,,,,,,
HOF,হে,55,53,636,1.881675288,0.086477987,0.162723492,,,,,,,,,,,,,
HOF,মই,52,52,633,1.889947814,0.082148499,0.155256376,,,,,,,,,,,,,
HOF,ইমান,53,51,599,1.898380981,0.088480801,0.16797027,,,,,,,,,,,,,
NOT,আপোনাৰ,55,51,707,1.898380981,0.077793494,0.147681689,,,,,,,,,,,,,
NOT,অসমৰ,52,50,670,1.906981153,0.07761194,0.148004507,,,,,,,,,,,,,
HOF,আমি,53,49,674,1.915755078,0.078635015,0.150645429,,,,,,,,,,,,,
HOF,",",56,48,711,1.92470992,0.078762307,0.151594593,,,,,,,,,,,,,
HOF,অসম,53,48,833,1.92470992,0.06362545,0.122460535,,,,,,,,,,,,,
HOF,ৰ,51,48,626,1.92470992,0.081469649,0.156805441,,,,,,,,,,,,,
HOF,হয়,51,47,614,1.9338533,0.083061889,0.160629509,,,,,,,,,,,,,
HOF,কিন্তু,46,46,637,1.943193326,0.072213501,0.140324793,,,,,,,,,,,,,
NOT,বা,52,46,671,1.943193326,0.077496274,0.150590243,,,,,,,,,,,,,
NOT,মানুহ,48,46,670,1.943193326,0.071641791,0.13921385,,,,,,,,,,,,,
HOF,?,50,45,576,1.952738644,0.086805556,0.169508563,,,,,,,,,,,,,
HOF,তাৰ,47,45,610,1.952738644,0.07704918,0.150456912,,,,,,,,,,,,,
HOF,দৰে,46,45,587,1.952738644,0.078364566,0.153025516,,,,,,,,,,,,,
HOF,হৈছে,46,45,528,1.952738644,0.087121212,0.170124958,,,,,,,,,,,,,
NOT,কৰা,46,45,673,1.952738644,0.068350669,0.133470992,,,,,,,,,,,,,
NOT,বাবে,47,45,727,1.952738644,0.064649243,0.126243076,,,,,,,,,,,,,
NOT,মোৰ,48,45,673,1.952738644,0.071322437,0.139274079,,,,,,,,,,,,,
HOF,হিন্দু,52,44,576,1.962498481,0.090277778,0.177170002,,,,,,,,,,,,,
NOT,দিব,47,44,545,1.962498481,0.086238532,0.169242988,,,,,,,,,,,,,
HOF,নহয়,45,43,502,1.972482702,0.089641434,0.176816178,,,,,,,,,,,,,
HOF,বহুত,45,43,527,1.972482702,0.085388994,0.168428314,,,,,,,,,,,,,
NOT,৷,52,43,509,1.972482702,0.1021611,0.201511003,,,,,,,,,,,,,
NOT,অসম,47,42,515,1.982701867,0.091262136,0.180945607,,,,,,,,,,,,,
NOT,কাম,45,42,520,1.982701867,0.086538462,0.171579969,,,,,,,,,,,,,
NOT,হে,43,42,447,1.982701867,0.096196868,0.19072971,,,,,,,,,,,,,
HOF,ছোৱালী,42,41,466,1.993167301,0.090128755,0.179641688,,,,,,,,,,,,,
HOF,দি,41,41,514,1.993167301,0.079766537,0.158988053,,,,,,,,,,,,,
HOF,বেছি,45,41,622,1.993167301,0.072347267,0.144200207,,,,,,,,,,,,,
NOT,আপুনি,43,41,533,1.993167301,0.080675422,0.160799613,,,,,,,,,,,,,
HOF,কোনো,43,40,603,2.003891166,0.071310116,0.142897712,,,,,,,,,,,,,
HOF,বা,43,40,615,2.003891166,0.069918699,0.140109464,,,,,,,,,,,,,
HOF,মোৰ,43,40,469,2.003891166,0.091684435,0.183725629,,,,,,,,,,,,,
HOF,লাজ,41,40,466,2.003891166,0.087982833,0.176308021,,,,,,,,,,,,,
NOT,ইমান,43,40,476,2.003891166,0.090336134,0.181023782,,,,,,,,,,,,,
NOT,তোমাৰ,45,40,595,2.003891166,0.075630252,0.151554794,,,,,,,,,,,,,
NOT,যদি,46,40,750,2.003891166,0.061333333,0.122905325,,,,,,,,,,,,,
HOF,তই,41,39,377,2.014886551,0.108753316,0.219125593,,,,,,,,,,,,,
NOT,চাই,41,39,548,2.014886551,0.074817518,0.150748811,,,,,,,,,,,,,
HOF,একো,38,38,394,2.026167561,0.096446701,0.195417176,,,,,,,,,,,,,
HOF,কিয়,38,38,405,2.026167561,0.09382716,0.190109549,,,,,,,,,,,,,
HOF,অসমীয়া,41,37,634,2.037749433,0.06466877,0.131778749,,,,,,,,,,,,,
HOF,এইবোৰ,39,37,372,2.037749433,0.10483871,0.213635021,,,,,,,,,,,,,
HOF,লৈ,37,37,500,2.037749433,0.074,0.150793458,,,,,,,,,,,,,
HOF,বোৰ,37,36,491,2.049648657,0.075356415,0.154454176,,,,,,,,,,,,,
NOT,যে,38,36,605,2.049648657,0.062809917,0.128738263,,,,,,,,,,,,,
NOT,সেই,37,36,589,2.049648657,0.062818336,0.128755518,,,,,,,,,,,,,
NOT,হৈছে,36,36,387,2.049648657,0.093023256,0.190664991,,,,,,,,,,,,,
HOF,আপুনি,38,35,512,2.061883113,0.07421875,0.153030387,,,,,,,,,,,,,
HOF,বাবে,39,35,570,2.061883113,0.068421053,0.141076213,,,,,,,,,,,,,
HOF,সেই,37,35,533,2.061883113,0.069418386,0.143132599,,,,,,,,,,,,,
HOF,৷,48,35,503,2.061883113,0.095427435,0.196760218,,,,,,,,,,,,,
NOT,অসমীয়া,36,35,514,2.061883113,0.070038911,0.144412047,,,,,,,,,,,,,
NOT,নিজৰ,37,35,498,2.061883113,0.074297189,0.153192119,,,,,,,,,,,,,
NOT,হব,37,35,546,2.061883113,0.067765568,0.13972468,,,,,,,,,,,,,
HOF,অলপ,36,34,408,2.074472241,0.088235294,0.183041668,,,,,,,,,,,,,
HOF,কৈ,36,34,512,2.074472241,0.0703125,0.145861329,,,,,,,,,,,,,
HOF,তোৰ,36,34,329,2.074472241,0.109422492,0.226993923,,,,,,,,,,,,,
HOF,লাগিব,35,34,388,2.074472241,0.090206186,0.187130228,,,,,,,,,,,,,
HOF,কিমান,33,33,805,2.087437218,0.040993789,0.08557196,,,,,,,,,,,,,
HOF,মাৰি,34,33,331,2.087437218,0.102719033,0.214419533,,,,,,,,,,,,,
HOF,হল,34,33,381,2.087437218,0.089238845,0.186280487,,,,,,,,,,,,,
NOT,বেয়া,37,33,525,2.087437218,0.07047619,0.147114623,,,,,,,,,,,,,
NOT,লগত,33,33,410,2.087437218,0.080487805,0.168013239,,,,,,,,,,,,,
NOT,ৰ,34,33,551,2.087437218,0.061705989,0.128807378,,,,,,,,,,,,,
HOF,এতিয়া,33,32,424,2.100801179,0.077830189,0.163505752,,,,,,,,,,,,,
HOF,এনেকুৱা,32,32,330,2.100801179,0.096969697,0.203714054,,,,,,,,,,,,,
HOF,সকলো,32,32,481,2.100801179,0.066528067,0.139762241,,,,,,,,,,,,,
NOT,কিবা,34,32,391,2.100801179,0.086956522,0.182678363,,,,,,,,,,,,,
NOT,তুমি,33,32,368,2.100801179,0.089673913,0.188387062,,,,,,,,,,,,,
NOT,নহয়,32,32,473,2.100801179,0.067653277,0.142126084,,,,,,,,,,,,,
NOT,সুন্দৰ,33,32,238,2.100801179,0.138655462,0.291287558,,,,,,,,,,,,,
HOF,খন,32,31,376,2.114589464,0.085106383,0.179965061,,,,,,,,,,,,,
HOF,চাই,33,31,429,2.114589464,0.076923077,0.162660728,,,,,,,,,,,,,
HOF,পাগল,32,31,217,2.114589464,0.147465438,0.311828861,,,,,,,,,,,,,
HOF,লাভ,31,31,404,2.114589464,0.076732673,0.162258102,,,,,,,,,,,,,
NOT,কোনো,31,31,436,2.114589464,0.071100917,0.150349251,,,,,,,,,,,,,
NOT,ছোৱালী,33,31,361,2.114589464,0.091412742,0.193300422,,,,,,,,,,,,,
HOF,ই,33,30,347,2.128829903,0.095100865,0.202453564,,,,,,,,,,,,,
HOF,নহয়,33,30,409,2.128829903,0.080684597,0.171763782,,,,,,,,,,,,,
HOF,বাংলাদেশী,32,30,321,2.128829903,0.099688474,0.212219803,,,,,,,,,,,,,
NOT,এইবোৰ,30,30,334,2.128829903,0.089820359,0.191212267,,,,,,,,,,,,,
NOT,মানুহে,30,30,416,2.128829903,0.072115385,0.153521387,,,,,,,,,,,,,
NOT,লাগিব,30,30,535,2.128829903,0.056074766,0.119373639,,,,,,,,,,,,,
HOF,ও,31,29,357,2.14355316,0.086834734,0.186134868,,,,,,,,,,,,,
HOF,কাৰণে,31,29,426,2.14355316,0.072769953,0.155986263,,,,,,,,,,,,,
HOF,কৰে,33,29,382,2.14355316,0.086387435,0.185176058,,,,,,,,,,,,,
HOF,যাব,30,29,341,2.14355316,0.08797654,0.188582389,,,,,,,,,,,,,
HOF,যেন,29,29,390,2.14355316,0.074358974,0.159392414,,,,,,,,,,,,,
NOT,টো,31,29,450,2.14355316,0.068888889,0.147666995,,,,,,,,,,,,,
NOT,বেয়া,29,29,363,2.14355316,0.079889807,0.171248049,,,,,,,,,,,,,
NOT,লাগিল,29,29,282,2.14355316,0.102836879,0.220436318,,,,,,,,,,,,,
HOF,অসমীয়া,30,28,356,2.158793126,0.084269663,0.181920769,,,,,,,,,,,,,
HOF,কব,28,28,420,2.158793126,0.066666667,0.143919542,,,,,,,,,,,,,
HOF,কৰিলে,28,28,436,2.158793126,0.064220183,0.138638091,,,,,,,,,,,,,
HOF,বাতৰি,29,28,305,2.158793126,0.095081967,0.205262297,,,,,,,,,,,,,
HOF,বিলাক,30,28,311,2.158793126,0.096463023,0.20824371,,,,,,,,,,,,,
HOF,মানুহৰ,28,28,333,2.158793126,0.084084084,0.181520143,,,,,,,,,,,,,
HOF,হ'ব,28,28,327,2.158793126,0.085626911,0.184850788,,,,,,,,,,,,,
HOF,হয়,29,28,319,2.158793126,0.090909091,0.196253921,,,,,,,,,,,,,
NOT,একো,28,28,359,2.158793126,0.077994429,0.168373837,,,,,,,,,,,,,
NOT,দাদা,28,28,312,2.158793126,0.08974359,0.193737845,,,,,,,,,,,,,
NOT,নিউজ,31,28,302,2.158793126,0.102649007,0.22159797,,,,,,,,,,,,,
NOT,নেকি,28,28,301,2.158793126,0.093023256,0.200817965,,,,,,,,,,,,,
HOF,অ,29,27,707,2.174587393,0.041018388,0.089198068,,,,,,,,,,,,,
NOT,লাগিছে,27,27,281,2.174587393,0.096085409,0.20894612,,,,,,,,,,,,,
HOF,টো,27,26,367,2.19097781,0.073569482,0.161189103,,,,,,,,,,,,,
HOF,তাই,26,26,278,2.19097781,0.09352518,0.204911594,,,,,,,,,,,,,
HOF,দিলে,26,26,335,2.19097781,0.07761194,0.170046039,,,,,,,,,,,,,
HOF,বেয়া,26,26,367,2.19097781,0.070844687,0.155219136,,,,,,,,,,,,,
HOF,মানে,29,26,356,2.19097781,0.081460674,0.178478529,,,,,,,,,,,,,
NOT,?,27,26,347,2.19097781,0.077809798,0.170479541,,,,,,,,,,,,,
NOT,অলপ,27,26,294,2.19097781,0.091836735,0.201212248,,,,,,,,,,,,,
NOT,অসমীয়া,31,26,458,2.19097781,0.06768559,0.148297625,,,,,,,,,,,,,
NOT,এনেকুৱা,27,26,339,2.19097781,0.079646018,0.174502657,,,,,,,,,,,,,
NOT,নে,28,26,350,2.19097781,0.08,0.175278225,,,,,,,,,,,,,
NOT,সকলোৱে,26,26,352,2.19097781,0.073863636,0.161833588,,,,,,,,,,,,,
NOT,হল,26,26,323,2.19097781,0.080495356,0.176363539,,,,,,,,,,,,,
NOT,হয়,26,26,382,2.19097781,0.068062827,0.149124144,,,,,,,,,,,,,
HOF,এতিয়া,25,25,397,2.208011149,0.062972292,0.139043523,,,,,,,,,,,,,
HOF,তুমি,31,25,341,2.208011149,0.090909091,0.200728286,,,,,,,,,,,,,
HOF,ভাই,28,25,336,2.208011149,0.083333333,0.184000929,,,,,,,,,,,,,
HOF,মানুহে,25,25,313,2.208011149,0.079872204,0.176358718,,,,,,,,,,,,,
NOT,আজি,25,25,308,2.208011149,0.081168831,0.179221684,,,,,,,,,,,,,
NOT,থাকিব,25,25,354,2.208011149,0.070621469,0.155932991,,,,,,,,,,,,,
NOT,ভাই,27,25,209,2.208011149,0.129186603,0.285245459,,,,,,,,,,,,,
NOT,লৈ,25,25,316,2.208011149,0.079113924,0.174684426,,,,,,,,,,,,,
NOT,সকলো,27,25,341,2.208011149,0.079178886,0.174827862,,,,,,,,,,,,,
HOF,কিয়,26,24,261,2.225739916,0.099616858,0.221721218,,,,,,,,,,,,,
HOF,কৰিছে,24,24,287,2.225739916,0.083623693,0.186124592,,,,,,,,,,,,,
HOF,থাকিব,25,24,345,2.225739916,0.072463768,0.161285501,,,,,,,,,,,,,
HOF,মন,24,24,270,2.225739916,0.088888889,0.197843548,,,,,,,,,,,,,
NOT,অতি,25,24,277,2.225739916,0.090252708,0.200879054,,,,,,,,,,,,,
NOT,দা,30,24,311,2.225739916,0.096463023,0.2147016,,,,,,,,,,,,,
NOT,নহয়,24,24,327,2.225739916,0.073394495,0.163357058,,,,,,,,,,,,,
HOF,আজি,25,23,362,2.244223322,0.069060773,0.154987798,,,,,,,,,,,,,
HOF,এনে,23,23,293,2.244223322,0.078498294,0.176167701,,,,,,,,,,,,,
HOF,কুকুৰ,23,23,232,2.244223322,0.099137931,0.222487657,,,,,,,,,,,,,
HOF,টকা,24,23,304,2.244223322,0.078947368,0.177175525,,,,,,,,,,,,,
HOF,তাক,24,23,325,2.244223322,0.073846154,0.165727261,,,,,,,,,,,,,
HOF,নিউজ,23,23,227,2.244223322,0.101321586,0.227388266,,,,,,,,,,,,,
HOF,পাৰে,23,23,306,2.244223322,0.075163399,0.168683452,,,,,,,,,,,,,
HOF,বৰ,23,23,305,2.244223322,0.075409836,0.169236513,,,,,,,,,,,,,
NOT,এইটো,23,23,274,2.244223322,0.083941606,0.188383709,,,,,,,,,,,,,
NOT,কোৱা,24,23,306,2.244223322,0.078431373,0.176017515,,,,,,,,,,,,,
NOT,বোৰ,23,23,335,2.244223322,0.068656716,0.154081004,,,,,,,,,,,,,
HOF,আপোনাৰ,23,22,271,2.263528477,0.084870849,0.192107583,,,,,,,,,,,,,
HOF,এইটো,23,22,284,2.263528477,0.080985915,0.183313926,,,,,,,,,,,,,
HOF,এক,23,22,324,2.263528477,0.070987654,0.160682577,,,,,,,,,,,,,
HOF,কিবা,23,22,281,2.263528477,0.081850534,0.185271014,,,,,,,,,,,,,
HOF,কৰাৰ,22,22,352,2.263528477,0.0625,0.14147053,,,,,,,,,,,,,
HOF,থকা,22,22,330,2.263528477,0.066666667,0.150901898,,,,,,,,,,,,,
HOF,দাদা,22,22,218,2.263528477,0.100917431,0.228429479,,,,,,,,,,,,,
NOT,ও,23,22,364,2.263528477,0.063186813,0.143025151,,,,,,,,,,,,,
NOT,কাৰণে,23,22,304,2.263528477,0.075657895,0.171253799,,,,,,,,,,,,,
NOT,কৈ,23,22,330,2.263528477,0.06969697,0.157761076,,,,,,,,,,,,,
NOT,ধন্যবাদ,22,22,159,2.263528477,0.13836478,0.313192619,,,,,,,,,,,,,
NOT,বেছি,22,22,237,2.263528477,0.092827004,0.210116567,,,,,,,,,,,,,
HOF,!,23,21,292,2.283731863,0.078767123,0.179882989,,,,,,,,,,,,,
HOF,খাই,22,21,243,2.283731863,0.090534979,0.206757617,,,,,,,,,,,,,
HOF,দেখা,22,21,295,2.283731863,0.074576271,0.170312207,,,,,,,,,,,,,
HOF,লাগে।,22,21,245,2.283731863,0.089795918,0.2050698,,,,,,,,,,,,,
HOF,হলে,21,21,296,2.283731863,0.070945946,0.162021517,,,,,,,,,,,,,
NOT,এজন,23,21,370,2.283731863,0.062162162,0.14196171,,,,,,,,,,,,,
NOT,দৰে,21,21,321,2.283731863,0.065420561,0.149403019,,,,,,,,,,,,,
NOT,পোৱা,21,21,327,2.283731863,0.064220183,0.146661679,,,,,,,,,,,,,
HOF,কাপোৰ,20,20,215,2.304921162,0.093023256,0.214411271,,,,,,,,,,,,,
HOF,কোৱা,22,20,312,2.304921162,0.070512821,0.162526492,,,,,,,,,,,,,
HOF,গতিকে,20,20,306,2.304921162,0.065359477,0.150648442,,,,,,,,,,,,,
HOF,গৈ,20,20,320,2.304921162,0.0625,0.144057573,,,,,,,,,,,,,
HOF,তহতৰ,21,20,293,2.304921162,0.071672355,0.165199128,,,,,,,,,,,,,
HOF,তাইৰ,20,20,210,2.304921162,0.095238095,0.219516301,,,,,,,,,,,,,
HOF,থাক,20,20,193,2.304921162,0.103626943,0.238851934,,,,,,,,,,,,,
HOF,দিয়ক,20,20,222,2.304921162,0.09009009,0.207650555,,,,,,,,,,,,,
HOF,দে,21,20,215,2.304921162,0.097674419,0.225131834,,,,,,,,,,,,,
HOF,দেই,20,20,177,2.304921162,0.11299435,0.260443069,,,,,,,,,,,,,
HOF,নাই।,20,20,229,2.304921162,0.087336245,0.201303158,,,,,,,,,,,,,
HOF,পোৱা,20,20,320,2.304921162,0.0625,0.144057573,,,,,,,,,,,,,
HOF,মাত,22,20,309,2.304921162,0.071197411,0.164104419,,,,,,,,,,,,,
HOF,মুছলমান,23,20,266,2.304921162,0.086466165,0.199297694,,,,,,,,,,,,,
HOF,লৰা,21,20,287,2.304921162,0.073170732,0.168652768,,,,,,,,,,,,,
HOF,শেষ,21,20,218,2.304921162,0.096330275,0.22203369,,,,,,,,,,,,,
HOF,হোৱা,21,20,310,2.304921162,0.067741935,0.156139821,,,,,,,,,,,,,
NOT,কিয়,21,20,255,2.304921162,0.082352941,0.189817037,,,,,,,,,,,,,
NOT,কৰিবলৈ,22,20,313,2.304921162,0.07028754,0.162007238,,,,,,,,,,,,,
NOT,কৰে,22,20,317,2.304921162,0.069400631,0.159962983,,,,,,,,,,,,,
NOT,নাই।,20,20,264,2.304921162,0.075757576,0.17461524,,,,,,,,,,,,,
NOT,হয়,20,20,272,2.304921162,0.073529412,0.169479497,,,,,,,,,,,,,
HOF,আছিল,21,19,310,2.327197557,0.067741935,0.157648867,,,,,,,,,,,,,
HOF,আছে।,19,19,188,2.327197557,0.10106383,0.235195498,,,,,,,,,,,,,
HOF,আহিব,19,19,571,2.327197557,0.033274956,0.077437397,,,,,,,,,,,,,
HOF,ক,20,19,229,2.327197557,0.087336245,0.203248695,,,,,,,,,,,,,
HOF,চৰকাৰে,20,19,348,2.327197557,0.057471264,0.133746986,,,,,,,,,,,,,
HOF,নিজে,23,19,217,2.327197557,0.105990783,0.246661492,,,,,,,,,,,,,
HOF,বাল,20,19,149,2.327197557,0.134228188,0.312375511,,,,,,,,,,,,,
HOF,ভাষা,21,19,320,2.327197557,0.065625,0.15272234,,,,,,,,,,,,,
HOF,যি,19,19,306,2.327197557,0.062091503,0.144499195,,,,,,,,,,,,,
NOT,গতিকে,20,19,292,2.327197557,0.068493151,0.159397093,,,,,,,,,,,,,
NOT,বুজি,19,19,274,2.327197557,0.069343066,0.161375013,,,,,,,,,,,,,
NOT,মন,19,19,219,2.327197557,0.086757991,0.201902984,,,,,,,,,,,,,
NOT,যেন,19,19,213,2.327197557,0.089201878,0.207590392,,,,,,,,,,,,,
NOT,হ'ব,19,19,235,2.327197557,0.080851064,0.188156398,,,,,,,,,,,,,
NOT,হোৱা,19,19,287,2.327197557,0.066202091,0.154065343,,,,,,,,,,,,,
HOF,অধিকাৰ,19,18,226,2.350678652,0.084070796,0.197623427,,,,,,,,,,,,,
HOF,আকৌ,18,18,216,2.350678652,0.083333333,0.195889888,,,,,,,,,,,,,
HOF,এ,19,18,610,2.350678652,0.031147541,0.07321786,,,,,,,,,,,,,
HOF,এজন,21,18,248,2.350678652,0.084677419,0.199049402,,,,,,,,,,,,,
HOF,কোন,18,18,184,2.350678652,0.097826087,0.229957694,,,,,,,,,,,,,
HOF,কৰ,18,18,255,2.350678652,0.070588235,0.165930258,,,,,,,,,,,,,
HOF,কৰক,18,18,205,2.350678652,0.087804878,0.206401052,,,,,,,,,,,,,
HOF,খোৱা,18,18,206,2.350678652,0.087378641,0.205399106,,,,,,,,,,,,,
HOF,জনী,18,18,149,2.350678652,0.120805369,0.283974602,,,,,,,,,,,,,
HOF,তাইক,18,18,177,2.350678652,0.101694915,0.239052066,,,,,,,,,,,,,
HOF,তোক,20,18,207,2.350678652,0.096618357,0.22711871,,,,,,,,,,,,,
HOF,থাকি,18,18,206,2.350678652,0.087378641,0.205399106,,,,,,,,,,,,,
HOF,নালাগে,18,18,178,2.350678652,0.101123596,0.237709077,,,,,,,,,,,,,
HOF,নিচিনা,18,18,202,2.350678652,0.089108911,0.209466415,,,,,,,,,,,,,
HOF,পালে,18,18,227,2.350678652,0.079295154,0.186397426,,,,,,,,,,,,,
HOF,বিজেপি,19,18,245,2.350678652,0.07755102,0.182297528,,,,,,,,,,,,,
HOF,বেলেগ,18,18,270,2.350678652,0.066666667,0.15671191,,,,,,,,,,,,,
HOF,ভিডিঅ',21,18,229,2.350678652,0.091703057,0.215564418,,,,,,,,,,,,,
HOF,ভোট,18,18,206,2.350678652,0.087378641,0.205399106,,,,,,,,,,,,,
NOT,উচিত,18,18,221,2.350678652,0.081447964,0.19145799,,,,,,,,,,,,,
NOT,এতিয়া,18,18,211,2.350678652,0.085308057,0.200531828,,,,,,,,,,,,,
NOT,জুবিন,24,18,247,2.350678652,0.097165992,0.228406023,,,,,,,,,,,,,
NOT,ডাঙৰ,18,18,197,2.350678652,0.091370558,0.214782821,,,,,,,,,,,,,
NOT,থকা,18,18,241,2.350678652,0.074688797,0.17556936,,,,,,,,,,,,,
NOT,থাকে,18,18,244,2.350678652,0.073770492,0.17341072,,,,,,,,,,,,,
NOT,বাতৰি,19,18,163,2.350678652,0.116564417,0.274005487,,,,,,,,,,,,,
NOT,লাগে।,18,18,175,2.350678652,0.102857143,0.24178409,,,,,,,,,,,,,
HOF,অতি,17,17,168,2.375502236,0.101190476,0.240378202,,,,,,,,,,,,,
HOF,আই,17,17,262,2.375502236,0.064885496,0.154135641,,,,,,,,,,,,,
HOF,আহি,17,17,250,2.375502236,0.068,0.161534152,,,,,,,,,,,,,
HOF,কোনে,18,17,184,2.375502236,0.097826087,0.232386088,,,,,,,,,,,,,
HOF,কৰিবলৈ,17,17,636,2.375502236,0.02672956,0.063496129,,,,,,,,,,,,,
HOF,গম,18,17,222,2.375502236,0.081081081,0.192608289,,,,,,,,,,,,,
HOF,ডাঙৰ,18,17,208,2.375502236,0.086538462,0.205572309,,,,,,,,,,,,,
HOF,তাত,17,17,197,2.375502236,0.086294416,0.204992579,,,,,,,,,,,,,
HOF,থাকিলে,17,17,242,2.375502236,0.070247934,0.166874124,,,,,,,,,,,,,
HOF,দিয়া,17,17,234,2.375502236,0.072649573,0.172579222,,,,,,,,,,,,,
HOF,পইচা,18,17,266,2.375502236,0.067669173,0.160748272,,,,,,,,,,,,,
HOF,বেয়া,19,17,224,2.375502236,0.084821429,0.201493493,,,,,,,,,,,,,
HOF,লগা,17,17,173,2.375502236,0.098265896,0.233430856,,,,,,,,,,,,,
HOF,সকলে,18,17,309,2.375502236,0.058252427,0.138378771,,,,,,,,,,,,,
NOT,আই,17,17,166,2.375502236,0.102409639,0.243274325,,,,,,,,,,,,,
