,word,word_count,doc_count,doc_len
339,kiy,1,1,11
340,knowledge,1,1,10
341,krishna,1,1,21
342,kutta,1,1,20
343,l,3,2,32
344,lagisy,1,1,50
345,leura,1,1,9
346,like,2,2,14
347,little,1,1,10
348,live,1,1,31
349,manho,2,1,50
350,marketing,1,1,13
351,marriage,1,1,25
352,mdiat,1,1,28
353,me,1,1,20
354,media,1,1,10
355,mistake...,1,1,50
356,mosti,1,1,6
357,movie,2,2,19
358,murder,1,1,9
359,music,1,1,12
360,muslim,1,1,12
361,neglect,1,1,19
362,neki..,1,1,50
363,neki....,1,1,50
364,network,1,1,13
365,news,5,5,71
366,next,1,1,15
367,nitumoni,1,1,20
368,no,1,1,15
369,nohoi,2,1,50
370,nokory,1,1,50
371,nomora,1,1,11
372,oasis,1,1,21
373,"oc,sp,dc,mondol,sdc",1,1,19
374,off,1,1,6
375,ok.,1,1,50
376,on,1,1,11
377,one,1,1,15
378,pabo,1,1,15
379,party,1,1,16
380,performance,1,1,6
381,"phone,",1,1,16
382,photo,1,1,21
383,pk,1,1,14
384,pointless,1,1,14
385,portal,1,1,11
386,practically,1,1,32
387,prank,2,1,64
388,problem,1,1,16
389,pukor,1,1,15
390,pukot,1,1,15
391,reform,2,2,44
392,report,1,1,11
393,retire,1,1,13
394,right,1,1,19
395,save,1,1,10
396,school,1,1,32
397,scissoring..আমাৰ,1,1,24
398,screenshot,1,1,13
399,script,1,1,21
400,scripted,1,1,21
401,second,1,1,29
402,"servant""",1,1,9
403,sex,1,1,5
404,share,1,1,16
405,sher,1,1,20
406,shere,1,1,6
407,show,1,1,6
408,silapothar,1,1,7
409,sir,2,2,63
410,sit,1,1,20
411,sms,1,1,5
412,so,1,1,16
413,social,1,1,28
414,stadium,1,1,18
415,start,1,1,15
416,sukur,1,1,20
417,sun.,1,1,20
418,sympathizer',1,1,5
419,system,1,1,19
420,thing,1,1,10
421,time,2,2,25
422,time8ৰ,1,1,16
423,timepass,1,1,5
424,to,1,1,10
425,toi,1,1,11
426,trp,1,1,7
427,tun,1,1,50
428,ud,1,1,21
429,vdo,3,2,21
430,ve,1,1,20
431,very,2,1,18
432,video,5,5,64
433,views,1,1,8
434,vines,1,1,8
435,viwes,1,1,12
436,vl,1,1,15
437,voraila,1,1,15
438,vote,1,1,12
439,vs,1,1,8
440,vut,1,1,15
441,without,1,1,24
442,you,1,1,52
443,z,1,1,10
444,zero।,1,1,16
445,|,17,15,228
446,|অসম,1,1,35
447,|ক'ত,1,1,15
448,की,2,1,50
449,बहुत,1,1,50
450,।,326,279,3870
451,।???,1,1,5
452,।।,11,11,143
453,।।.,1,1,13
454,।।।,4,4,49
455,।।।।,2,2,30
456,।অনুৰোধ,1,1,11
457,।অসমত,1,1,22
458,।অহা,1,1,13
459,।আগতে,1,1,14
460,।আন,1,1,18
461,।আমি,2,2,27
462,।উন্নতি,1,1,10
463,।একদিন,1,1,7
464,।কা,1,1,6
465,।কালি।,1,1,12
466,।চলদিলেহে,1,1,15
467,।চাল্লা,1,1,17
468,।চৰ,1,1,11
469,।তাকেই,1,1,19
470,।তেজপুৰ,1,1,20
471,।দুয়োকে,1,1,11
472,।নিজেও,1,1,11
473,।নিজৰ,1,1,13
474,।পাৰিলে,1,1,7
475,।পিছত,1,1,10
476,।পুৰুষ,1,1,14
477,।বহুদিনৰ,1,1,19
478,।বা,1,1,13
479,।মই,1,1,10
480,।মূৰটি,1,1,3
481,।মোদী,1,1,19
482,।লিচতত।,1,1,12
483,।সাংঘাতিক,1,1,11
484,।সেয়াই,1,1,16
485,।সৰ্বাদা,1,1,16
486,।…,1,1,7
487,॥,1,1,9
488,॥Jsb,1,1,26
489,ঃ,1,1,24
490,অ,22,22,277
491,অ'ই,1,1,14
492,অ'ক,1,1,8
493,"অ,",1,1,10
494,"অ,অসমত",1,1,12
495,অ।,1,1,13
496,অংক,2,2,64
497,অংগ,2,2,27
498,অংশ,2,1,12
499,অই,3,3,19
500,অইন,3,3,63
501,অকণো,1,1,18
502,অকন,2,2,20
503,অকনমান,3,3,40
504,অকনো,2,2,33
505,অকল,15,15,173
506,অকলসৰে,1,1,31
507,অকলে,6,5,72
508,অকলেই,1,1,13
509,অকল্পনীয়,1,1,15
510,অকাদ,3,3,24
511,অকাল,1,1,12
512,অকে,1,1,31
513,অক্টোবৰৰ,1,1,10
514,অক্ষমণীয়,1,1,39
515,অখিল,8,6,133
516,অখিলৰ,1,1,8
517,অগপক,3,3,45
518,অগপৰ,1,1,34
519,অগ্নি,1,1,7
520,অগ্নিৰে,1,1,7
521,অগ্ৰসৰ,1,1,14
522,অঙ্ক,1,1,13
523,অঙ্কত,1,1,13
524,অজুহাত,1,1,25
525,অজ্ঞানি,1,1,20
526,অঞ্চলৰ,1,1,20
527,অটিতৰ,1,1,19
528,অত,3,3,46
529,অতটিউন,1,1,8
530,অতপালি,1,1,19
531,অতি,30,30,292
532,অতিক্রম,1,1,10
533,অতিথিৰ,1,1,17
534,অতিসোনকালে,1,1,7
535,অতীতৰ,1,1,16
536,অতুল,4,4,48
537,অত্যন্ত,1,1,3
538,অত্যাচাৰ,5,4,48
539,অত্যাধুনিক,1,1,4
540,অত্যাৱশ্যকীয়,1,1,7
541,অত্যুত্সাহী,2,1,39
542,অথ,1,1,11
543,অথচ,2,2,33
544,অথলে,1,1,28
545,অদ্ভুদ,1,1,34
546,অদৰকাৰী,1,1,13
547,অদৰ্কাৰী,1,1,12
548,অধচ,1,1,7
549,অধপতনে,1,1,7
550,অধম,2,2,17
551,অধমে,1,1,9
552,অধিক,5,5,79
553,অধিকাৰ,15,15,200
554,"অধিকাৰ,",1,1,11
555,অধিবক্তা,1,1,4
556,অধ্যক্ষৰ,1,1,18
557,অধ্যয়ন,2,1,21
558,অনতি,1,1,13
559,অনতিপলমে,2,2,25
560,অনন্যাৰ,2,1,22
561,অনবৰতে,1,1,10
562,অনর্থক,1,1,13
563,অনলাইন,1,1,30
564,অনা,4,4,87
565,অনাগত,4,4,64
566,অনুকৰণ,1,1,8
567,অনুগ্ৰহ,3,3,25
568,অনুদানতো,1,1,28
569,অনুপ্ৰেৰণা,1,1,9
570,অনুবাদ,1,1,8
571,অনুভৱ,3,3,46
572,অনুভৱ।,2,2,14
573,অনুমতি,1,1,18
574,অনুমান,1,1,13
575,অনুযায়ী,1,1,8
576,অনুষ্ঠান,3,3,51
577,অনুষ্ঠানটো,2,2,46
578,অনুষ্ঠিত,3,3,42
579,"অনুষ্ঠিত,",1,1,18
580,অনুস্থান,1,1,13
581,অনুসৰণ,1,1,22
582,অনুসৰি,1,1,12
583,অনুৰাগীয়ে,1,1,9
584,অনুৰাগীৰ,1,1,11
585,অনুৰোধ,5,5,100
586,অনেক,6,5,46
587,অনেকে,1,1,11
588,অন্ত,1,1,8
589,অন্ত:ত,1,1,16
590,অন্তত,3,3,47
591,অন্ততঃ,1,1,8
592,অন্তসত্তাৰ,1,1,18
593,অন্তু,1,1,12
594,অন্তৰ,2,2,35
595,অন্তৰত,1,1,14
596,অন্তৰৰ,1,1,10
597,অন্দভক্ত,1,1,12
598,অন্ধ,4,4,58
599,অন্ধকাৰ,1,1,11
600,অন্ধবিশ্বাস,1,1,6
601,অন্য,8,8,94
602,অন্যথা,2,2,46
603,অন্যান্য,1,1,31
604,অন্যায়ৰ,1,1,16
605,অপকাৰ,1,1,34
606,অপপ্রচাৰেৰে,1,1,9
607,অপবিত্ৰ,1,1,5
608,অপমাণ,1,1,14
609,অপমান,12,12,190
610,অপশব্দৰে,1,1,19
611,অপাৰ।,1,1,12
612,অপাৰগ,1,1,22
613,অপাৰেশ্বন,1,1,21
614,অপুনাৰ,1,1,8
615,অপেক্ষা,4,4,34
616,অপেক্ষাত,2,2,10
617,অপেক্ষায়,1,1,15
618,অপোনালোকক,1,1,8
619,অপৰাধ,5,5,89
620,অপৰাধমূলক,1,1,15
621,অপৰাধী,3,3,18
622,অপৰাধীটো,1,1,23
623,অপৰাধীয়ে,1,1,14
624,অপৰাধীৰ,1,1,18
625,অপৰাধৰ,1,1,26
626,অফ,1,1,22
627,অফাৰ,1,1,4
628,অফিচাৰ,1,1,21
629,অফিচয়েল,2,1,57
630,অফৰ,1,1,7
631,অবস্থা,1,1,10
632,অবস্থান,1,1,8
633,অবসৰ,1,1,18
634,অবহেশত,1,1,7
635,অবাইছ,1,1,1
636,অবিহনে,6,5,54
637,অবুজন,1,1,5
638,অবৈজ্ঞানিক,1,1,12
639,অবৈধ,5,5,70
640,অব্যাহত,1,1,29
641,অব্যাহতি,1,1,13
642,অভদদামি,1,1,5
643,অভদ্য,2,2,11
644,অভদ্র,1,1,8
645,অভদ্রামী,1,1,9
646,অভদ্ৰ,5,5,26
647,অভদ্ৰই,1,1,11
648,অভদ্ৰামী,1,1,3
649,অভাদগোৰে,1,1,8
650,অভাব,4,4,25
651,অভাৰ,1,1,19
652,অভাৱ,3,3,31
653,অভাৱ।,1,1,13
654,অভাৱবোৰ,1,1,22
655,অভিজ্ঞতা,1,1,17
656,অভিজ্ঞতাসম্পন্ন,1,1,16
657,"অভিনন্দন,",1,1,10
658,অভিনয়,5,5,76
659,অভিনয়ৰ,1,1,11
660,অভিনেতা,2,2,19
661,অভিনেতাই,1,1,18
662,অভিনেতি?,1,1,1
663,অভিনেত্ৰী,4,3,23
664,অভিনেত্ৰীগৰাকীক,1,1,7
665,অভিনেত্ৰীৰ,1,1,21
666,অভিনয়,8,8,77
667,অভিনয়'',1,1,7
668,অভিনয়।,1,1,3
669,অভিনয়তে,1,1,6
670,অভিনয়তো,1,1,10
671,অভিন‌য়।,1,1,5
672,অভিভাবকে,1,1,11
673,অভিভাৱক,1,1,9
674,অভিমান,1,1,6
675,অভিযোগ,5,5,63
676,অভিশাপ,1,1,8
677,অমংগলিয়া,1,1,9
678,অমংগলীয়া,1,1,12
679,অমান্য,1,1,14
680,অমুকাহত,1,1,12
681,অমৃত,1,1,20
682,অলগৰ্ধ,1,1,22
683,অলপ,45,44,525
684,অলপো,1,1,8
685,অশান্তি,3,3,42
686,অশালীনতাবোৰ,1,1,10
687,অশেষ,1,1,12
688,অশ্লিলতা,1,1,17
689,অশ্লীল,2,2,19
690,অশ্লীলতা,1,1,12
691,অসত্য,2,2,35
692,অসবিধা,1,1,18
693,অসভ্য,7,6,41
694,অসভ্যালিৰ,1,1,12
695,অসম,68,63,986
696,"অসম""",1,1,13
697,"অসম""!",1,1,13
698,"অসম,",2,1,15
699,অসম???,1,1,14
700,অসম।,4,4,28
701,অসম।।।।,1,1,5
702,অসম।বৰ,1,1,19
703,অসমই,1,1,14
704,অসমক,1,1,38
705,অসমখন,3,3,62
706,অসমখনবেয়া,1,1,5
707,অসমত,48,47,645
708,অসমতও,1,1,4
709,অসমতহে,1,1,11
710,অসমতে,3,3,92
711,অসমতেই,3,3,45
712,অসমতো,2,2,29
713,অসমবাসী,1,1,16
714,অসমবাসীয়ে,1,1,7
715,অসমলৈ,3,3,29
716,অসমীয়া,42,37,556
717,অসমীয়াই,3,3,39
718,অসমীয়াক,3,3,31
719,অসমীয়াত,1,1,24
720,অসমীয়াৰ,7,7,110
721,অসমীয়া,52,50,854
722,"অসমীয়া,",1,1,21
723,অসমীয়াই,8,8,97
724,অসমীয়াক,3,3,58
725,অসমীয়াকো,1,1,9
726,অসমীয়াকোন.সময়ত,1,1,13
727,অসমীয়াত,2,2,31
728,অসমীয়াতকৈ,1,1,57
729,অসমীয়াতে,2,2,13
730,অসমীয়াৰ,5,5,69
731,অসমীৰ,1,1,19
732,অসমে,1,1,16
733,অসম্ভৱ,1,1,9
734,অসমৰ,81,80,1147
735,অসমৰমূল,1,1,11
736,অসমৰে,1,1,9
737,অসম‌,1,1,10
738,অসহনীয়,1,1,6
739,অসাধারণ,1,1,15
740,অসুবিধা,5,5,53
741,অসুৰ,2,2,24
742,অস্কাৰৰ,1,1,8
743,অস্তিত্ব,1,1,14
744,অস্ত্র-সস্ত্রৰ,2,2,28
745,অস্থায়ী,1,1,8
746,অস্থির,1,1,3
747,অস্থিৰতাৰ,1,1,19
748,অসৎকায্য,1,1,11
749,অহংকাৰ,1,1,8
750,অহংকাৰক,1,1,10
751,অহংকাৰী,3,3,29
752,"অহংকাৰী,অসভ্য",1,1,12
753,অহংকাৰে,1,1,5
754,অহঙকাৰী,1,1,13
755,অহম,1,1,38
756,অহমিয়া,1,1,38
757,অহা,10,10,170
758,অহাতো,1,1,15
759,অহাবাররপরা,1,1,14
760,অহাৰ,2,2,28
761,অহি,1,1,32
762,অামি,1,1,10
763,অৰবিন্দ,5,5,65
764,অৰিজিনেল,1,1,7
765,অৰু,1,1,5
766,অৰ্থ,2,2,21
767,অৰ্থনীতি,3,3,46
768,অৰ্থহিন,1,1,8
769,অৰ্থহীন,2,2,16
770,অৰ্থাৎ,1,1,11
771,অৰ্ধ,1,1,12
772,অৰ্ধমৰবোৰক,1,1,13
773,অৱদান,1,1,11
774,অৱশেষত,1,1,57
775,অৱশ্যে,2,2,22
776,অৱস্থা,8,8,89
777,অৱস্থাত,1,1,18
778,আ,1,1,8
779,আঁকোৱালি,1,1,8
780,আঁচনিয়ে,1,1,13
781,আঁত,1,1,21
782,আঁতৰ,1,1,12
783,আঁতৰাই,1,1,50
784,আঁতৰি,2,2,25
785,আঁৰত,1,1,52
786,আংগুলিতু,1,1,8
787,আই,29,29,373
788,"আই,,,,তাই",1,1,8
789,আইজনী।,1,1,8
790,আইজোনি,1,1,12
791,আইজোনিক,1,1,20
792,আইতা,1,1,10
793,আইতাই,1,1,13
794,আইন,6,6,53
795,আইন।,1,1,22
796,আইনত,1,1,23
797,আইনহে,1,1,8
798,আইনী,1,1,5
799,আইনে,1,1,5
800,আইনৰ,3,3,45
801,আইফোন,1,1,45
802,আইমি,1,1,10
803,আইমী,4,4,48
804,আইমীবৰুৱা,1,1,7
805,আইমীয়ে,1,1,11
806,আইমীৰ,1,1,12
807,আইসা,1,1,15
808,আউট।,1,1,42
809,আউরাকাউরা,1,1,12
810,আও,1,1,7
811,আও....,1,1,11
812,আওতাই,1,1,7
813,আক,4,4,52
814,আকাশ-পাতাল,1,1,9
815,আকাৰতকৈ,1,1,6
816,আকাৰৰ,1,1,12
817,আকেতাই।,1,1,10
818,আকো,1,1,14
819,আকোঁৱালি,1,1,9
820,আকোৰ,1,1,17
821,আকো😶,1,1,7
822,আকৌ,18,18,216
823,আকৌ...মানে,1,1,12
824,আকৌ😄,1,1,1
825,আক্সোমিয়া,1,1,8
826,আক্ৰমণ,1,1,18
827,আখ,1,1,15
828,আখৰে,2,1,14
829,আগ,4,4,35
830,আগত,15,15,247
831,আগত...,1,1,7
832,আগতকৈ,1,1,8
833,আগতিকৈ,1,1,7
834,আগতীয়াকৈ,1,1,26
835,আগতে,15,15,208
836,আগতেই,5,5,31
837,আগতেও,3,3,73
838,আগন্তুক,1,1,5
839,আগফালে,1,1,9
840,আগবঢ়ায়ছে।,1,1,15
841,আগবাঢ়ি,3,3,38
842,আগবাঢ়িব,1,1,7
843,আগবাঢ়ি,3,3,35
844,আগবাঢ়ৰিছে,1,1,34
845,আগবঢ়া,1,1,9
846,আগবঢ়াইছে,1,1,4
847,আগবঢ়াত,1,1,11
848,আগমন,1,1,13
849,আগলৈ,2,2,63
850,আগলৈও,1,1,11
851,আগলৈকো,1,1,64
852,আগুৱাই,7,7,93
853,আগে,7,4,60
854,আগোৱা,1,1,17
855,আগোৱাই,1,1,15
856,আগ্ৰহেৰে,1,1,7
857,আগৰ,7,7,85
858,"আগৰণুৱা,",1,1,11
859,আগৰেপৰাই,1,1,9
860,আঘাট,1,1,32
861,আঘাত,2,2,21
862,আঙুলি,3,3,30
863,আঙুলিৰে,1,1,9
864,আচ,1,1,7
865,আচঁলতে,1,1,11
866,আচল,5,5,44
867,আচলতে,5,5,56
868,"আচলতে,",1,1,10
869,আচলে,2,2,33
870,আচাম,1,1,9
871,আচিল,1,1,21
872,আচিলু,1,1,20
873,আচে,3,3,80
874,আচেনু,1,1,7
875,আচৰণে,1,1,17
876,আচৰিত,9,9,73
877,আচৰিত।,1,1,18
878,আছ,5,5,81
879,আছ।,1,1,7
880,আছল,2,2,31
881,আছলতে,3,3,29
882,আছা,6,6,82
883,আছি,1,1,16
884,আছিল,27,25,384
885,"আছিল,",1,1,3
886,আছিল?ক'ত,1,1,14
887,আছিল।,6,6,69
888,আছিলি,1,1,6
889,আছিলে,5,4,50
890,আছিলো,1,1,18
891,আছিলোঁ।।।,1,1,10
892,আছু,3,3,35
893,আছুক,1,1,13
894,আছুৰ,2,2,26
895,আছূত,1,1,6
896,আছে,153,139,1758
897,আছে!,1,1,6
898,"আছে,",6,6,68
899,"আছে,কথা",1,1,12
900,"আছে,কেবল",1,1,11
901,আছে...,3,3,66
902,আছে....,1,1,12
903,আছে......,1,1,9
904,আছে?,2,2,19
905,আছে??,1,1,21
906,আছে।,29,29,318
907,আছে।।,2,2,30
908,আছে।আপোনাৰ,1,1,14
909,আছে।বিশেষকৈ,1,1,8
910,আছেই,2,2,41
911,আছেচোন,1,1,29
912,আছেজদি,1,1,7
913,আছেনে,3,3,33
914,আছে৷,1,1,22
915,আছে৷নহ'লে,1,1,34
916,আছো,16,16,213
917,আছো;সেই,1,1,32
918,আছো।,3,3,32
919,আছো।।অলপ,1,1,12
920,আছোঁ,4,4,31
921,আছোমিয়া,1,1,12
922,আছৰিত।,1,1,16
923,আজমলক,2,2,23
924,আজমলতকৈ,1,1,12
925,আজি,32,31,411
926,আজিকলি,2,1,21
927,আজিকালি,8,8,76
928,আজিলৈ,1,1,13
929,আজিলৈকে,1,1,11
930,আজিহে,4,4,41
931,আজিয়েই,2,1,29
932,আজিৰ,9,9,100
933,আজুৰি,1,1,16
934,আজে,2,2,30
935,আঞ্চলিকতাবাদক,1,1,9
936,আঠু,1,1,57
937,আঠো,1,1,5
938,আড্ডাত,1,1,7
939,আতংকবাদীৰ,1,1,6
940,আতা,2,2,47
941,আতাহ,1,1,14
942,আতিয়া,2,2,40
943,আত্ম,1,1,9
944,আত্মবিশ্বাসী।কথা,1,1,34
945,আত্মসন্মানৰ,1,1,10
946,আত্য,1,1,20
947,আতৰাই,2,2,76
948,আতৰি,1,1,5
949,আথূ,1,1,8
950,আদমি,1,1,4
951,আদমী,2,2,23
952,আদা,1,1,14
953,আদায়,1,1,13
954,আদায়ৰ,1,1,13
955,আদি,2,2,23
956,আদিক,1,1,6
957,আদিতো,1,1,15
958,আদিম,1,1,14
959,আদিমতালৈ,1,1,14
960,আদিমযুগৰ,1,1,8
961,আদিমৰ,1,1,14
962,আদৰণি,1,1,15
963,আদৰণীয়,1,1,12
964,আদৰনী,1,1,13
965,আদৰি,2,2,28
966,আদৰ্শ,4,4,65
967,আধা,3,3,36
968,আধাক,1,1,11
969,"আধিকাৰ""....",1,1,12
970,আধুনিক,2,2,23
971,আধুনিকতাত,1,1,13
972,আধুনিকতালৈ,1,1,14
973,আধুনিকতাৰ,1,1,14
974,আধ্যাত্মিক,1,1,18
