word,word_count,df,doc_len,idf,tf,tf-idf,,,,,,
#Kolkata,1,1,18,3.10754913,0.055555556,,,,,,,
#RIP_WB_শিক্ষাব্যবস্থা,1,1,20,3.10754913,0.05,,,,,,,
#ভিক্ষা,1,1,137,3.10754913,0.00729927,,,,,,,
',2,2,38,2.806519134,0.052631579,,,,,,,
'আম,1,1,45,3.10754913,0.022222222,,,,,,,
'কোটা,1,1,116,3.10754913,0.00862069,,,,,,,
'ঙ,1,1,21,3.10754913,0.047619048,,,,,,,
'পড়াশুনো,1,1,52,3.10754913,0.019230769,,,,,,,
'ভাইরাল',2,1,126,3.10754913,0.015873016,,,,,,,
'যোগ্যতা,1,1,62,3.10754913,0.016129032,,,,,,,
'রেকর্ডিং'টা,1,1,116,3.10754913,0.00862069,,,,,,,
'সবকা,1,1,28,3.10754913,0.035714286,,,,,,,
'সেরা,1,1,80,3.10754913,0.0125,,,,,,,
(,4,4,107,2.505489138,0.037383178,,,,,,,
(অন্ধ,1,1,137,3.10754913,0.00729927,,,,,,,
(জাগো,1,1,63,3.10754913,0.015873016,,,,,,,
(মানে,1,1,62,3.10754913,0.016129032,,,,,,,
(হায়,1,1,21,3.10754913,0.047619048,,,,,,,
(১১/১১/২০২১)আমাদের,1,1,137,3.10754913,0.00729927,,,,,,,
)।,1,1,10,3.10754913,0.1,,,,,,,
)ভাবলে,1,1,6,3.10754913,0.166666667,,,,,,,
*আই,1,1,196,3.10754913,0.005102041,,,,,,,
*আজগুবি,1,1,196,3.10754913,0.005102041,,,,,,,
*উউউমমমমমম*,1,1,22,3.10754913,0.045454545,,,,,,,
*কোটি,1,1,196,3.10754913,0.005102041,,,,,,,
*দূর্নীতিমুক্ত,1,1,196,3.10754913,0.005102041,,,,,,,
*নেতাদের,1,1,196,3.10754913,0.005102041,,,,,,,
*ভাতাশ্রী*,1,1,196,3.10754913,0.005102041,,,,,,,
",",67,42,1677,1.484299839,0.039952296,,,,,,,
",,",4,4,71,2.505489138,0.056338028,,,,,,,
",,,",1,1,51,3.10754913,0.019607843,,,,,,,
",,,,",2,1,51,3.10754913,0.039215686,,,,,,,
",,,,,",3,2,62,2.806519134,0.048387097,,,,,,,
",,,,,,",1,1,51,3.10754913,0.019607843,,,,,,,
",,,,,,,,,,,।।।।",1,1,5,3.10754913,0.2,,,,,,,
",,,,মদন",1,1,13,3.10754913,0.076923077,,,,,,,
",mp",1,1,14,3.10754913,0.071428571,,,,,,,
",আম",1,1,14,3.10754913,0.071428571,,,,,,,
",আমরা",1,1,19,3.10754913,0.052631579,,,,,,,
",আমসত্ত্ব",1,1,6,3.10754913,0.166666667,,,,,,,
",আর",2,2,75,2.806519134,0.026666667,,,,,,,
",এখন",1,1,12,3.10754913,0.083333333,,,,,,,
",এটাই",1,1,33,3.10754913,0.03030303,,,,,,,
",এত",1,1,15,3.10754913,0.066666667,,,,,,,
",ও",1,1,33,3.10754913,0.03030303,,,,,,,
",কথা",1,1,73,3.10754913,0.01369863,,,,,,,
",কারণ",1,1,54,3.10754913,0.018518519,,,,,,,
",চাকরি",1,1,39,3.10754913,0.025641026,,,,,,,
",চিরকূট",1,1,9,3.10754913,0.111111111,,,,,,,
",ছিপ",1,1,17,3.10754913,0.058823529,,,,,,,
",ঝান্ডা",1,1,73,3.10754913,0.01369863,,,,,,,
",তখন",1,1,80,3.10754913,0.0125,,,,,,,
",তাই",1,1,67,3.10754913,0.014925373,,,,,,,
",তাও",2,1,47,3.10754913,0.042553191,,,,,,,
",তিনুর",1,1,10,3.10754913,0.1,,,,,,,
",না",1,1,47,3.10754913,0.021276596,,,,,,,
",নিম্ন",1,1,53,3.10754913,0.018867925,,,,,,,
",পরে",1,1,8,3.10754913,0.125,,,,,,,
",পার্থ",1,1,15,3.10754913,0.066666667,,,,,,,
",বিজেপি,",1,1,57,3.10754913,0.01754386,,,,,,,
",ভালো",1,1,43,3.10754913,0.023255814,,,,,,,
",মাখাতে",1,1,15,3.10754913,0.066666667,,,,,,,
",মাঝেমধ্যে",1,1,80,3.10754913,0.0125,,,,,,,
",মেয়ে",1,1,8,3.10754913,0.125,,,,,,,
",যাকে",1,1,52,3.10754913,0.019230769,,,,,,,
",যে",2,2,74,2.806519134,0.027027027,,,,,,,
",লড়াই",1,1,21,3.10754913,0.047619048,,,,,,,
",শোভন",1,1,15,3.10754913,0.066666667,,,,,,,
",সপরিবারে",1,1,39,3.10754913,0.025641026,,,,,,,
",সমাজ",1,1,35,3.10754913,0.028571429,,,,,,,
",🌱💚🌱",1,1,87,3.10754913,0.011494253,,,,,,,
-,18,10,457,2.10754913,0.039387309,,,,,,,
--,4,2,83,2.806519134,0.048192771,,,,,,,
---,2,2,60,2.806519134,0.033333333,,,,,,,
----,1,1,62,3.10754913,0.016129032,,,,,,,
---কুস্তি,1,1,50,3.10754913,0.02,,,,,,,
--এটা,1,1,50,3.10754913,0.02,,,,,,,
--সেখানে,1,1,50,3.10754913,0.02,,,,,,,
-ঠিক,1,1,14,3.10754913,0.071428571,,,,,,,
-তবে,1,1,70,3.10754913,0.014285714,,,,,,,
-দেখবেন,1,1,70,3.10754913,0.014285714,,,,,,,
-যেমন,1,1,40,3.10754913,0.025,,,,,,,
.,4,4,114,2.505489138,0.035087719,,,,,,,
..,2,2,60,2.806519134,0.033333333,,,,,,,
....,3,2,55,2.806519134,0.054545455,,,,,,,
....*এই,1,1,196,3.10754913,0.005102041,,,,,,,
.....,1,1,18,3.10754913,0.055555556,,,,,,,
.....**অযোগ্য,1,1,196,3.10754913,0.005102041,,,,,,,
......,1,1,36,3.10754913,0.027777778,,,,,,,
.......,1,1,12,3.10754913,0.083333333,,,,,,,
"..........""বোমের",1,1,33,3.10754913,0.03030303,,,,,,,
............।,1,1,79,3.10754913,0.012658228,,,,,,,
......🤔,1,1,20,3.10754913,0.05,,,,,,,
.....সাম্প্রদায়িক,1,1,196,3.10754913,0.005102041,,,,,,,
....মণি,1,1,12,3.10754913,0.083333333,,,,,,,
....😡😡😡,1,1,21,3.10754913,0.047619048,,,,,,,
...উন্নতি,1,1,23,3.10754913,0.043478261,,,,,,,
..?,1,1,61,3.10754913,0.016393443,,,,,,,
..যখন,1,1,30,3.10754913,0.033333333,,,,,,,
..রান্না,1,1,10,3.10754913,0.1,,,,,,,
..😄,1,1,21,3.10754913,0.047619048,,,,,,,
.।,1,1,10,3.10754913,0.1,,,,,,,
.আমজনতা,1,1,23,3.10754913,0.043478261,,,,,,,
.এর,1,1,21,3.10754913,0.047619048,,,,,,,
.খানকির,1,1,5,3.10754913,0.2,,,,,,,
.মানে,1,1,23,3.10754913,0.043478261,,,,,,,
/,5,2,46,2.806519134,0.108695652,,,,,,,
/বাঙালীর,1,1,40,3.10754913,0.025,,,,,,,
0,1,1,51,3.10754913,0.019607843,,,,,,,
"000,",2,1,6,3.10754913,0.333333333,,,,,,,
1,1,1,3,3.10754913,0.333333333,,,,,,,
1,1,1,5,3.10754913,0.2,,,,,,,
10,2,2,147,2.806519134,0.013605442,,,,,,,
100,1,1,8,3.10754913,0.125,,,,,,,
100%,1,1,77,3.10754913,0.012987013,,,,,,,
144,1,1,50,3.10754913,0.02,,,,,,,
16,1,1,71,3.10754913,0.014084507,,,,,,,
18,1,1,27,3.10754913,0.037037037,,,,,,,
2,3,3,147,2.630427875,0.020408163,,,,,,,
20,1,1,120,3.10754913,0.008333333,,,,,,,
20000,1,1,12,3.10754913,0.083333333,,,,,,,
28,1,1,71,3.10754913,0.014084507,,,,,,,
3,1,1,10,3.10754913,0.1,,,,,,,
30,1,1,37,3.10754913,0.027027027,,,,,,,
"30,",1,1,120,3.10754913,0.008333333,,,,,,,
30টি,2,2,28,2.806519134,0.071428571,,,,,,,
4,1,1,33,3.10754913,0.03030303,,,,,,,
40,1,1,120,3.10754913,0.008333333,,,,,,,
50,1,1,120,3.10754913,0.008333333,,,,,,,
5000,2,2,103,2.806519134,0.019417476,,,,,,,
60,1,1,37,3.10754913,0.027027027,,,,,,,
75,1,1,120,3.10754913,0.008333333,,,,,,,
800,1,1,20,3.10754913,0.05,,,,,,,
98%,1,1,33,3.10754913,0.03030303,,,,,,,
;,1,1,20,3.10754913,0.05,,,,,,,
?,29,20,797,1.806519134,0.036386449,,,,,,,
?**উন্নয়ণ,1,1,196,3.10754913,0.005102041,,,,,,,
?*রাজ্যের,1,1,196,3.10754913,0.005102041,,,,,,,
??,5,4,67,2.505489138,0.074626866,,,,,,,
????,2,1,19,3.10754913,0.105263158,,,,,,,
??????,1,1,28,3.10754913,0.035714286,,,,,,,
???আমরা,1,1,42,3.10754913,0.023809524,,,,,,,
?যারা,1,1,14,3.10754913,0.071428571,,,,,,,
?শাক,1,1,23,3.10754913,0.043478261,,,,,,,
A,3,3,75,2.630427875,0.04,,,,,,,
ABP,11,10,273,2.10754913,0.04029304,,,,,,,
ANANDA,1,1,19,3.10754913,0.052631579,,,,,,,
Abhisek,1,1,87,3.10754913,0.011494253,,,,,,,
Abp,1,1,26,3.10754913,0.038461538,,,,,,,
After,1,1,14,3.10754913,0.071428571,,,,,,,
Ananda,3,3,63,2.630427875,0.047619048,,,,,,,
Athlete,3,1,72,3.10754913,0.041666667,,,,,,,
B,2,2,58,2.806519134,0.034482759,,,,,,,
BOYCOTT,1,1,13,3.10754913,0.076923077,,,,,,,
BP,1,1,17,3.10754913,0.058823529,,,,,,,
BSF,3,3,64,2.630427875,0.046875,,,,,,,
BSFএর,1,1,31,3.10754913,0.032258065,,,,,,,
Best,1,1,21,3.10754913,0.047619048,,,,,,,
Bsf,1,1,15,3.10754913,0.066666667,,,,,,,
"CBI,",1,1,35,3.10754913,0.028571429,,,,,,,
Cell,1,1,19,3.10754913,0.052631579,,,,,,,
Chhi,1,1,10,3.10754913,0.1,,,,,,,
Congress,2,2,74,2.806519134,0.027027027,,,,,,,
Court,1,1,42,3.10754913,0.023809524,,,,,,,
Cpm,1,1,23,3.10754913,0.043478261,,,,,,,
D,1,1,48,3.10754913,0.020833333,,,,,,,
DA,1,1,13,3.10754913,0.076923077,,,,,,,
Dada,1,1,15,3.10754913,0.066666667,,,,,,,
Dear,1,1,49,3.10754913,0.020408163,,,,,,,
ED,1,1,35,3.10754913,0.028571429,,,,,,,
Education,1,1,61,3.10754913,0.016393443,,,,,,,
FIR,1,1,60,3.10754913,0.016666667,,,,,,,
Govt,1,1,48,3.10754913,0.020833333,,,,,,,
Host,1,1,22,3.10754913,0.045454545,,,,,,,
I,2,2,48,2.806519134,0.041666667,,,,,,,
I'm,1,1,17,3.10754913,0.058823529,,,,,,,
INDA,1,1,43,3.10754913,0.023255814,,,,,,,
IPL,1,1,14,3.10754913,0.071428571,,,,,,,
IT,1,1,19,3.10754913,0.052631579,,,,,,,
Increment,1,1,17,3.10754913,0.058823529,,,,,,,
Is,1,1,42,3.10754913,0.023809524,,,,,,,
Item,1,1,22,3.10754913,0.045454545,,,,,,,
Joy,1,1,18,3.10754913,0.055555556,,,,,,,
KKR,1,1,5,3.10754913,0.2,,,,,,,
LMAO,1,1,13,3.10754913,0.076923077,,,,,,,
MLA,2,2,29,2.806519134,0.068965517,,,,,,,
NO,1,1,3,3.10754913,0.333333333,,,,,,,
No.,1,1,5,3.10754913,0.2,,,,,,,
October,1,1,23,3.10754913,0.043478261,,,,,,,
Officer-in-charge.,1,1,29,3.10754913,0.034482759,,,,,,,
Oh,1,1,5,3.10754913,0.2,,,,,,,
Olympics,1,1,46,3.10754913,0.02173913,,,,,,,
P,3,3,106,2.630427875,0.028301887,,,,,,,
P.R,1,1,61,3.10754913,0.016393443,,,,,,,
Plz,1,1,10,3.10754913,0.1,,,,,,,
Police,1,1,18,3.10754913,0.055555556,,,,,,,
Post,1,1,22,3.10754913,0.045454545,,,,,,,
Principal,2,1,23,3.10754913,0.086956522,,,,,,,
SSC,1,1,26,3.10754913,0.038461538,,,,,,,
Siksha,1,1,53,3.10754913,0.018867925,,,,,,,
So,1,1,4,3.10754913,0.25,,,,,,,
Students,1,1,61,3.10754913,0.016393443,,,,,,,
Supreme,1,1,42,3.10754913,0.023809524,,,,,,,
T,1,1,28,3.10754913,0.035714286,,,,,,,
TMC,1,1,11,3.10754913,0.090909091,,,,,,,
TRP,3,3,76,2.630427875,0.039473684,,,,,,,
Thakur,1,1,61,3.10754913,0.016393443,,,,,,,
The,2,2,52,2.806519134,0.038461538,,,,,,,
TmC,1,1,20,3.10754913,0.05,,,,,,,
Tmc,2,2,27,2.806519134,0.074074074,,,,,,,
Trp,1,1,17,3.10754913,0.058823529,,,,,,,
UAPA,1,1,137,3.10754913,0.00729927,,,,,,,
Ultimately,1,1,12,3.10754913,0.083333333,,,,,,,
Vdo,1,1,17,3.10754913,0.058823529,,,,,,,
WB,2,2,66,2.806519134,0.03030303,,,,,,,
WTF,1,1,47,3.10754913,0.021276596,,,,,,,
Wah,1,1,13,3.10754913,0.076923077,,,,,,,
__মানুষের,1,1,6,3.10754913,0.166666667,,,,,,,
abp,3,3,78,2.630427875,0.038461538,,,,,,,
air,1,1,49,3.10754913,0.020408163,,,,,,,
all,1,1,14,3.10754913,0.071428571,,,,,,,
also,1,1,42,3.10754913,0.023809524,,,,,,,
anti,1,1,48,3.10754913,0.020833333,,,,,,,
ar,1,1,87,3.10754913,0.011494253,,,,,,,
assult,1,1,34,3.10754913,0.029411765,,,,,,,
c,1,1,28,3.10754913,0.035714286,,,,,,,
called,1,1,4,3.10754913,0.25,,,,,,,
care,1,1,23,3.10754913,0.043478261,,,,,,,
chhi,1,1,10,3.10754913,0.1,,,,,,,
chi,1,1,7,3.10754913,0.142857143,,,,,,,
college,1,1,61,3.10754913,0.016393443,,,,,,,
colourful,1,1,67,3.10754913,0.014925373,,,,,,,
constitution,1,1,43,3.10754913,0.023255814,,,,,,,
continue,1,1,62,3.10754913,0.016129032,,,,,,,
correctness,1,1,30,3.10754913,0.033333333,,,,,,,
cpm,2,2,107,2.806519134,0.018691589,,,,,,,
"currency,",1,1,31,3.10754913,0.032258065,,,,,,,
didi,1,1,13,3.10754913,0.076923077,,,,,,,
"doi,",1,1,21,3.10754913,0.047619048,,,,,,,
dore।,1,1,87,3.10754913,0.011494253,,,,,,,
drugs,1,1,31,3.10754913,0.032258065,,,,,,,
e,2,1,60,3.10754913,0.033333333,,,,,,,
er,2,1,60,3.10754913,0.033333333,,,,,,,
eta,1,1,60,3.10754913,0.016666667,,,,,,,
fake,1,1,31,3.10754913,0.032258065,,,,,,,
"flamboyent,",1,1,13,3.10754913,0.076923077,,,,,,,
for,1,1,21,3.10754913,0.047619048,,,,,,,
given,1,1,42,3.10754913,0.023809524,,,,,,,
government,1,1,61,3.10754913,0.016393443,,,,,,,
gulo,1,1,52,3.10754913,0.019230769,,,,,,,
handling,1,1,82,3.10754913,0.012195122,,,,,,,
has,1,1,42,3.10754913,0.023809524,,,,,,,
help,1,1,10,3.10754913,0.1,,,,,,,
high,1,1,82,3.10754913,0.012195122,,,,,,,
his,1,1,42,3.10754913,0.023809524,,,,,,,
hobe,1,1,21,3.10754913,0.047619048,,,,,,,
hoye,1,1,26,3.10754913,0.038461538,,,,,,,
hypocrite।,1,1,120,3.10754913,0.008333333,,,,,,,
illegal,1,1,31,3.10754913,0.032258065,,,,,,,
invest,1,1,6,3.10754913,0.166666667,,,,,,,
it,1,1,42,3.10754913,0.023809524,,,,,,,
jemon,1,1,60,3.10754913,0.016666667,,,,,,,
join,1,1,29,3.10754913,0.034482759,,,,,,,
kaj,1,1,60,3.10754913,0.016666667,,,,,,,
karache,1,1,24,3.10754913,0.041666667,,,,,,,
kerala,1,1,10,3.10754913,0.1,,,,,,,
kerela,1,1,45,3.10754913,0.022222222,,,,,,,
khub,1,1,53,3.10754913,0.018867925,,,,,,,
kinte,1,1,21,3.10754913,0.047619048,,,,,,,
korte,1,1,60,3.10754913,0.016666667,,,,,,,
l,4,2,39,2.806519134,0.102564103,,,,,,,
liftting,1,1,46,3.10754913,0.02173913,,,,,,,
ll,1,1,33,3.10754913,0.03030303,,,,,,,
lovely👌😊😊পাগলাচোদার,1,1,5,3.10754913,0.2,,,,,,,
m,1,1,28,3.10754913,0.035714286,,,,,,,
ma,1,1,87,3.10754913,0.011494253,,,,,,,
maiti,1,1,28,3.10754913,0.035714286,,,,,,,
mango,1,1,29,3.10754913,0.034482759,,,,,,,
massage,1,1,26,3.10754913,0.038461538,,,,,,,
meghalaya,1,1,87,3.10754913,0.011494253,,,,,,,
mentality,1,1,43,3.10754913,0.023255814,,,,,,,
mla,2,2,101,2.806519134,0.01980198,,,,,,,
naiti,1,1,28,3.10754913,0.035714286,,,,,,,
naki,1,1,20,3.10754913,0.05,,,,,,,
nam,2,1,60,3.10754913,0.033333333,,,,,,,
news,2,2,100,2.806519134,0.02,,,,,,,
nice,1,1,8,3.10754913,0.125,,,,,,,
niya,1,1,7,3.10754913,0.142857143,,,,,,,
nonsense,1,1,6,3.10754913,0.166666667,,,,,,,
ok,1,1,14,3.10754913,0.071428571,,,,,,,
online,1,1,8,3.10754913,0.125,,,,,,,
opposition,1,1,77,3.10754913,0.012987013,,,,,,,
pagla***,1,1,10,3.10754913,0.1,,,,,,,
parlo,1,1,60,3.10754913,0.016666667,,,,,,,
party,1,1,29,3.10754913,0.034482759,,,,,,,
people,1,1,29,3.10754913,0.034482759,,,,,,,
person,1,1,46,3.10754913,0.02173913,,,,,,,
player,1,1,5,3.10754913,0.2,,,,,,,
political,1,1,30,3.10754913,0.033333333,,,,,,,
pre-planned?,1,1,42,3.10754913,0.023809524,,,,,,,
principle,1,1,11,3.10754913,0.090909091,,,,,,,
proposal,1,1,14,3.10754913,0.071428571,,,,,,,
protest,1,1,60,3.10754913,0.016666667,,,,,,,
ram,1,1,18,3.10754913,0.055555556,,,,,,,
sathe,1,1,18,3.10754913,0.055555556,,,,,,,
save,1,1,17,3.10754913,0.058823529,,,,,,,
say,1,1,25,3.10754913,0.04,,,,,,,
"script,",2,1,12,3.10754913,0.166666667,,,,,,,
security,1,1,82,3.10754913,0.012195122,,,,,,,
seta,1,1,48,3.10754913,0.020833333,,,,,,,
sex,1,1,35,3.10754913,0.028571429,,,,,,,
sexually,1,1,34,3.10754913,0.029411765,,,,,,,
shame,2,1,19,3.10754913,0.105263158,,,,,,,
shree,1,1,18,3.10754913,0.055555556,,,,,,,
sir,1,1,9,3.10754913,0.111111111,,,,,,,
smartly,1,1,82,3.10754913,0.012195122,,,,,,,
sorry,2,2,39,2.806519134,0.051282051,,,,,,,
stall,1,1,21,3.10754913,0.047619048,,,,,,,
story,2,2,55,2.806519134,0.036363636,,,,,,,
student,2,2,64,2.806519134,0.03125,,,,,,,
sudhu,1,1,60,3.10754913,0.016666667,,,,,,,
sunte,1,1,17,3.10754913,0.058823529,,,,,,,
surely,1,1,77,3.10754913,0.012987013,,,,,,,
surprise,1,1,35,3.10754913,0.028571429,,,,,,,
sympathy,1,1,82,3.10754913,0.012195122,,,,,,,
system,1,1,9,3.10754913,0.111111111,,,,,,,
taker,1,1,23,3.10754913,0.043478261,,,,,,,
teacher,1,1,15,3.10754913,0.066666667,,,,,,,
teo,1,1,87,3.10754913,0.011494253,,,,,,,
tmc,1,1,18,3.10754913,0.055555556,,,,,,,
to,2,2,73,2.806519134,0.02739726,,,,,,,
trading,1,1,31,3.10754913,0.032258065,,,,,,,
training,1,1,37,3.10754913,0.027027027,,,,,,,
"trespassing,",1,1,31,3.10754913,0.032258065,,,,,,,
u,1,1,21,3.10754913,0.047619048,,,,,,,
verdict.,1,1,42,3.10754913,0.023809524,,,,,,,
video,1,1,77,3.10754913,0.012987013,,,,,,,
vot,1,1,23,3.10754913,0.043478261,,,,,,,
voter,1,1,73,3.10754913,0.01369863,,,,,,,
vs,1,1,21,3.10754913,0.047619048,,,,,,,
wah,1,1,13,3.10754913,0.076923077,,,,,,,
wife,1,1,27,3.10754913,0.037037037,,,,,,,
wishes,1,1,21,3.10754913,0.047619048,,,,,,,
wrestlers,1,1,18,3.10754913,0.055555556,,,,,,,
youtuber,1,1,13,3.10754913,0.076923077,,,,,,,
zone,1,1,82,3.10754913,0.012195122,,,,,,,
|,3,2,87,2.806519134,0.034482759,,,,,,,
۔,1,1,14,3.10754913,0.071428571,,,,,,,
۔۔,1,1,47,3.10754913,0.021276596,,,,,,,
۔۔۔যারা,1,1,47,3.10754913,0.021276596,,,,,,,
۔۔তার,1,1,47,3.10754913,0.021276596,,,,,,,
।,124,85,2697,1.178130204,0.045977011,,,,,,,
।.....ভরা,1,1,12,3.10754913,0.083333333,,,,,,,
।।,11,7,231,2.26245109,0.047619048,,,,,,,
।।।।,2,1,33,3.10754913,0.060606061,,,,,,,
।।।।।তাতে,1,1,13,3.10754913,0.076923077,,,,,,,
।।।।🙏🙏,1,1,41,3.10754913,0.024390244,,,,,,,
।।আর,1,1,7,3.10754913,0.142857143,,,,,,,
।আর,1,1,19,3.10754913,0.052631579,,,,,,,
।এই,1,1,17,3.10754913,0.058823529,,,,,,,
।এরা,3,3,54,2.630427875,0.055555556,,,,,,,
।ওকে,1,1,11,3.10754913,0.090909091,,,,,,,
।কখনো,1,1,36,3.10754913,0.027777778,,,,,,,
।কারণ,1,1,18,3.10754913,0.055555556,,,,,,,
।কিন্তু,1,1,47,3.10754913,0.021276596,,,,,,,
।চটি,1,1,14,3.10754913,0.071428571,,,,,,,
।জয়,1,1,43,3.10754913,0.023255814,,,,,,,
।নাহলে,1,1,79,3.10754913,0.012658228,,,,,,,
।বুঝতে,1,1,47,3.10754913,0.021276596,,,,,,,
।ভারত,2,2,67,2.806519134,0.029850746,,,,,,,
।মুখে,1,1,43,3.10754913,0.023255814,,,,,,,
।যদিও,1,1,53,3.10754913,0.018867925,,,,,,,
।যা,2,1,47,3.10754913,0.042553191,,,,,,,
।যে,1,1,47,3.10754913,0.021276596,,,,,,,
।যেদিন,1,1,17,3.10754913,0.058823529,,,,,,,
।যোগ্যতা,1,1,10,3.10754913,0.1,,,,,,,
।লজ্জা,1,1,43,3.10754913,0.023255814,,,,,,,
।শুধু,1,1,17,3.10754913,0.058823529,,,,,,,
।🤲,1,1,13,3.10754913,0.076923077,,,,,,,
।🥺🥺🥺🤣,1,1,47,3.10754913,0.021276596,,,,,,,
অংশগ্রহণ,2,1,72,3.10754913,0.027777778,,,,,,,
অকপট,1,1,26,3.10754913,0.038461538,,,,,,,
অকর্মণ্য,1,1,4,3.10754913,0.25,,,,,,,
অকৃতকার্য,1,1,21,3.10754913,0.047619048,,,,,,,
অক্টোবর,2,2,42,2.806519134,0.047619048,,,,,,,
অখাদ্য,2,2,22,2.806519134,0.090909091,,,,,,,
অগনিত,1,1,10,3.10754913,0.1,,,,,,,
অগাধ,1,1,13,3.10754913,0.076923077,,,,,,,
অগ্নিহোত্রী,1,1,9,3.10754913,0.111111111,,,,,,,
অচল,1,1,72,3.10754913,0.013888889,,,,,,,
অচেনা,1,1,10,3.10754913,0.1,,,,,,,
অজুহাত,1,1,13,3.10754913,0.076923077,,,,,,,
অজ্ঞ,1,1,38,3.10754913,0.026315789,,,,,,,
অজ্ঞান,1,1,37,3.10754913,0.027027027,,,,,,,
অত,1,1,51,3.10754913,0.019607843,,,,,,,
অতএব,1,1,20,3.10754913,0.05,,,,,,,
অতি,6,6,167,2.329397879,0.035928144,,,,,,,
অতিক্রম,2,2,26,2.806519134,0.076923077,,,,,,,
অতিরিক্ত,4,4,62,2.505489138,0.064516129,,,,,,,
অত্তাধুনিক,1,1,21,3.10754913,0.047619048,,,,,,,
অত্যনত,1,1,35,3.10754913,0.028571429,,,,,,,
অত্যন্ত,1,1,53,3.10754913,0.018867925,,,,,,,
অত্যাচার,4,4,188,2.505489138,0.021276596,,,,,,,
অথচ,2,2,179,2.806519134,0.011173184,,,,,,,
অথচো,1,1,42,3.10754913,0.023809524,,,,,,,
অথবা,2,2,63,2.806519134,0.031746032,,,,,,,
অথিতে,1,1,47,3.10754913,0.021276596,,,,,,,
অধঃপতন,1,1,26,3.10754913,0.038461538,,,,,,,
অধঃপতনের,1,1,21,3.10754913,0.047619048,,,,,,,
অধিকার,12,10,431,2.10754913,0.027842227,,,,,,,
অধিকার।,1,1,24,3.10754913,0.041666667,,,,,,,
অধিকার।এই,1,1,22,3.10754913,0.045454545,,,,,,,
অধিকারটা,1,1,51,3.10754913,0.019607843,,,,,,,
অধিকারী,1,1,20,3.10754913,0.05,,,,,,,
অধিবাসীদের,1,1,29,3.10754913,0.034482759,,,,,,,
অধিষ্ঠিত!,1,1,18,3.10754913,0.055555556,,,,,,,
অধীনে,1,1,13,3.10754913,0.076923077,,,,,,,
অধ্যক্ষ,1,1,28,3.10754913,0.035714286,,,,,,,
অধ্যাপক।,1,1,18,3.10754913,0.055555556,,,,,,,
অন,1,1,7,3.10754913,0.142857143,,,,,,,
অনটাইম,1,1,36,3.10754913,0.027777778,,,,,,,
অনবদ্য।,1,1,35,3.10754913,0.028571429,,,,,,,
অনভিজ্ঞতার,1,1,41,3.10754913,0.024390244,,,,,,,
অনা,1,1,14,3.10754913,0.071428571,,,,,,,
অনাবিল,1,1,6,3.10754913,0.166666667,,,,,,,
অনির্বাণ,2,2,60,2.806519134,0.033333333,,,,,,,
অনির্বাণের,1,1,37,3.10754913,0.027027027,,,,,,,
অনির্বানের,1,1,34,3.10754913,0.029411765,,,,,,,
অনীহা,1,1,52,3.10754913,0.019230769,,,,,,,
অনুদান,1,1,196,3.10754913,0.005102041,,,,,,,
অনুপ,1,1,13,3.10754913,0.076923077,,,,,,,
অনুপ্রেরণা,1,1,47,3.10754913,0.021276596,,,,,,,
