word,word_count,doc_count,doc_len,idf,tf,tf-idf
",গাৱৰ",1,1,8,3.605951158,0.125,0.450743895
",চকু",1,1,8,3.605951158,0.125,0.450743895
",চোৰ,ডকাইত",1,1,11,3.605951158,0.090909091,0.327813742
",জনসংখ্যা",1,1,21,3.605951158,0.047619048,0.17171196
",জনসঙখা",1,1,11,3.605951158,0.090909091,0.327813742
",জহৰীক",1,1,12,3.605951158,0.083333333,0.30049593
",জাতি",1,1,16,3.605951158,0.0625,0.225371947
",জাতী",1,1,20,3.605951158,0.05,0.180297558
",জাতীয়",1,1,18,3.605951158,0.055555556,0.20033062
",টাওনত",1,1,19,3.605951158,0.052631579,0.189786903
",ডকাতি,মাদাৰী,চুৰ",1,1,9,3.605951158,0.111111111,0.40066124
",তেওঁলোকে",1,1,24,3.605951158,0.041666667,0.150247965
",দুই",1,1,16,3.605951158,0.0625,0.225371947
",দুখীয়া",1,1,33,3.605951158,0.03030303,0.109271247
",দুৰ্নীতি",1,1,33,3.605951158,0.03030303,0.109271247
",ধন-সম্পত্তি",1,1,21,3.605951158,0.047619048,0.17171196
",ধৰ্ষণ",1,1,11,3.605951158,0.090909091,0.327813742
",নামাৰিবা",1,1,14,3.605951158,0.071428571,0.25756794
",পুৰ্ব",1,1,13,3.605951158,0.076923077,0.277380858
",প্ৰকৃততে",1,1,11,3.605951158,0.090909091,0.327813742
",বিজেপিয়ে",1,1,34,3.605951158,0.029411765,0.106057387
",ব্যৱসায়",1,1,21,3.605951158,0.047619048,0.17171196
",ভাল",1,1,38,3.605951158,0.026315789,0.094893452
",ভাৰতীয়",1,1,16,3.605951158,0.0625,0.225371947
",মই",2,2,30,3.304921162,0.066666667,0.220328077
",মন্ত্ৰী",1,1,30,3.605951158,0.033333333,0.120198372
",মুছলমানক",1,1,7,3.605951158,0.142857143,0.51513588
",শিকিব",1,1,33,3.605951158,0.03030303,0.109271247
",শিক্ষা",1,1,21,3.605951158,0.047619048,0.17171196
",শিক্ষিত",1,1,16,3.605951158,0.0625,0.225371947
",সংস্থাপন",1,1,21,3.605951158,0.047619048,0.17171196
",সছা",1,1,14,3.605951158,0.071428571,0.25756794
",সব",1,1,16,3.605951158,0.0625,0.225371947
",সাজ",1,1,25,3.605951158,0.04,0.144238046
",সিহঁতক",1,1,13,3.605951158,0.076923077,0.277380858
",সোনোৱাল-কছাৰী",1,1,19,3.605951158,0.052631579,0.189786903
",হিন্দু,",1,1,20,3.605951158,0.05,0.180297558
",ৰাইজে",1,1,7,3.605951158,0.142857143,0.51513588
",ৰাজনীতি",1,1,21,3.605951158,0.047619048,0.17171196
",🙏",1,1,13,3.605951158,0.076923077,0.277380858
-,3,3,73,3.128829903,0.04109589,0.128582051
--!,1,1,24,3.605951158,0.041666667,0.150247965
------?,1,1,12,3.605951158,0.083333333,0.30049593
----।,1,1,11,3.605951158,0.090909091,0.327813742
--কিন্তু,1,1,12,3.605951158,0.083333333,0.30049593
-কেইটা,1,1,6,3.605951158,0.166666667,0.60099186
-তাকো,1,1,17,3.605951158,0.058823529,0.212114774
-তুগোল,1,1,25,3.605951158,0.04,0.144238046
-নিদিৰ্ষ্ট,1,1,17,3.605951158,0.058823529,0.212114774
-পোনচাতেই,1,1,13,3.605951158,0.076923077,0.277380858
-প্ৰজন্মক,1,1,25,3.605951158,0.04,0.144238046
-বঙালী,1,1,15,3.605951158,0.066666667,0.240396744
-বাকী,1,1,21,3.605951158,0.047619048,0.17171196
-শিষ্যৰ,1,1,14,3.605951158,0.071428571,0.25756794
-সকলৰ,1,1,14,3.605951158,0.071428571,0.25756794
.,8,7,96,2.760853118,0.083333333,0.230071093
..,2,2,48,3.304921162,0.041666667,0.137705048
...,9,8,105,2.702861171,0.085714286,0.231673815
...!,1,1,7,3.605951158,0.142857143,0.51513588
....,3,3,44,3.128829903,0.068181818,0.213329312
.....,2,2,42,3.304921162,0.047619048,0.157377198
.......,1,1,23,3.605951158,0.043478261,0.156780485
.....ইতিহাস,1,1,9,3.605951158,0.111111111,0.40066124
....জয়,1,1,21,3.605951158,0.047619048,0.17171196
...কাহিনী,1,1,34,3.605951158,0.029411765,0.106057387
...তুমি,1,1,7,3.605951158,0.142857143,0.51513588
...ভাল,1,1,21,3.605951158,0.047619048,0.17171196
...মই,1,1,15,3.605951158,0.066666667,0.240396744
...মা,1,1,8,3.605951158,0.125,0.450743895
..।,1,1,8,3.605951158,0.125,0.450743895
..অইজোনে,1,1,12,3.605951158,0.083333333,0.30049593
..আপোনাৰ,1,1,9,3.605951158,0.111111111,0.40066124
..আৰু,1,1,11,3.605951158,0.090909091,0.327813742
..জাতি-জনজাতিৰ,1,1,19,3.605951158,0.052631579,0.189786903
..😒,1,1,5,3.605951158,0.2,0.721190232
.।,1,1,11,3.605951158,0.090909091,0.327813742
.আৰু,2,2,26,3.304921162,0.076923077,0.254224705
.কি,1,1,45,3.605951158,0.022222222,0.080132248
.ছালা,1,1,17,3.605951158,0.058823529,0.212114774
.পেটত,1,1,15,3.605951158,0.066666667,0.240396744
.ভাষা,1,1,20,3.605951158,0.05,0.180297558
/,1,1,11,3.605951158,0.090909091,0.327813742
/24,1,1,31,3.605951158,0.032258065,0.116321005
09/03/2022,1,1,25,3.605951158,0.04,0.144238046
1,4,4,54,3.003891166,0.074074074,0.222510457
10,3,3,57,3.128829903,0.052631579,0.164675258
100%,1,1,13,3.605951158,0.076923077,0.277380858
100k,1,1,6,3.605951158,0.166666667,0.60099186
10জন,1,1,14,3.605951158,0.071428571,0.25756794
11.6k,1,1,13,3.605951158,0.076923077,0.277380858
13,1,1,19,3.605951158,0.052631579,0.189786903
15,2,2,53,3.304921162,0.037735849,0.124714006
1500,1,1,29,3.605951158,0.034482759,0.124343143
16.35/।,1,1,26,3.605951158,0.038461538,0.138690429
16.45,1,1,26,3.605951158,0.038461538,0.138690429
1936,1,1,12,3.605951158,0.083333333,0.30049593
1971,1,1,31,3.605951158,0.032258065,0.116321005
1গোট,1,1,12,3.605951158,0.083333333,0.30049593
2,7,7,133,2.760853118,0.052631579,0.145308059
200,1,1,11,3.605951158,0.090909091,0.327813742
2024ৰ,1,1,13,3.605951158,0.076923077,0.277380858
2030,1,1,13,3.605951158,0.076923077,0.277380858
20জন,1,1,14,3.605951158,0.071428571,0.25756794
2তা,2,1,8,3.605951158,0.25,0.901487789
2মাৰ,2,2,45,3.304921162,0.044444444,0.146885385
300,1,1,7,3.605951158,0.142857143,0.51513588
3000,1,1,6,3.605951158,0.166666667,0.60099186
300K,1,1,7,3.605951158,0.142857143,0.51513588
300টকা,1,1,33,3.605951158,0.03030303,0.109271247
31,1,1,20,3.605951158,0.05,0.180297558
365,1,1,29,3.605951158,0.034482759,0.124343143
37,1,1,18,3.605951158,0.055555556,0.20033062
40,1,1,6,3.605951158,0.166666667,0.60099186
47,1,1,18,3.605951158,0.055555556,0.20033062
5,3,3,52,3.128829903,0.057692308,0.180509417
50%মানুহে,1,1,30,3.605951158,0.033333333,0.120198372
5000,1,1,30,3.605951158,0.033333333,0.120198372
588,1,1,20,3.605951158,0.05,0.180297558
5জি,1,1,11,3.605951158,0.090909091,0.327813742
60-40,1,1,19,3.605951158,0.052631579,0.189786903
75,1,1,20,3.605951158,0.05,0.180297558
8,1,1,20,3.605951158,0.05,0.180297558
80,1,1,6,3.605951158,0.166666667,0.60099186
90,1,1,12,3.605951158,0.083333333,0.30049593
90%,1,1,14,3.605951158,0.071428571,0.25756794
"90,000",1,1,15,3.605951158,0.066666667,0.240396744
960,1,1,57,3.605951158,0.01754386,0.063262301
99%,1,1,8,3.605951158,0.125,0.450743895
=,1,1,29,3.605951158,0.034482759,0.124343143
=জুই,1,1,7,3.605951158,0.142857143,0.51513588
?,77,71,923,1.754692809,0.083423619,0.146382824
??,7,6,104,2.827799907,0.067307692,0.190332686
???,3,3,24,3.128829903,0.125,0.391103738
????,1,1,6,3.605951158,0.166666667,0.60099186
?????,1,1,17,3.605951158,0.058823529,0.212114774
?।।।,1,1,7,3.605951158,0.142857143,0.51513588
?আইমি,1,1,14,3.605951158,0.071428571,0.25756794
?জয়ই,1,1,14,3.605951158,0.071428571,0.25756794
?নে,1,1,16,3.605951158,0.0625,0.225371947
?পাৰিলে,1,1,14,3.605951158,0.071428571,0.25756794
?৯,1,1,4,3.605951158,0.25,0.901487789
A,1,1,10,3.605951158,0.1,0.360595116
AAP,3,3,30,3.128829903,0.1,0.31288299
AC,1,1,20,3.605951158,0.05,0.180297558
AGP,3,2,28,3.304921162,0.107142857,0.354098696
AGPক,1,1,17,3.605951158,0.058823529,0.212114774
AJG,1,1,33,3.605951158,0.03030303,0.109271247
AJP,1,1,12,3.605951158,0.083333333,0.30049593
APSC,1,1,10,3.605951158,0.1,0.360595116
Aapunar,2,1,50,3.605951158,0.04,0.144238046
Abed,1,1,6,3.605951158,0.166666667,0.60099186
Akand,1,1,31,3.605951158,0.032258065,0.116321005
Ali,1,1,6,3.605951158,0.166666667,0.60099186
Amsu,1,1,9,3.605951158,0.111111111,0.40066124
BA,1,1,18,3.605951158,0.055555556,0.20033062
BEEO,1,1,8,3.605951158,0.125,0.450743895
BJP,6,6,67,2.827799907,0.089552239,0.253235813
BJPৰ,1,1,7,3.605951158,0.142857143,0.51513588
Best।,1,1,19,3.605951158,0.052631579,0.189786903
Bipasha,1,1,20,3.605951158,0.05,0.180297558
CAA,3,3,41,3.128829903,0.073170732,0.228938773
CBI,1,1,10,3.605951158,0.1,0.360595116
CM,2,2,30,3.304921162,0.066666667,0.220328077
Cannel,1,1,11,3.605951158,0.090909091,0.327813742
Care,2,2,19,3.304921162,0.105263158,0.347886438
Chocolates,1,1,10,3.605951158,0.1,0.360595116
City,1,1,50,3.605951158,0.02,0.072119023
Clien,1,1,10,3.605951158,0.1,0.360595116
Comment,1,1,9,3.605951158,0.111111111,0.40066124
DB,2,2,19,3.304921162,0.105263158,0.347886438
DGP,1,1,5,3.605951158,0.2,0.721190232
DNA.,1,1,19,3.605951158,0.052631579,0.189786903
Da,2,2,42,3.304921162,0.047619048,0.157377198
Daa,1,1,52,3.605951158,0.019230769,0.069345215
Das,2,2,34,3.304921162,0.058823529,0.194407127
Dbnews,1,1,8,3.605951158,0.125,0.450743895
Dom,1,1,20,3.605951158,0.05,0.180297558
Doya,1,1,23,3.605951158,0.043478261,0.156780485
Driver,1,1,50,3.605951158,0.02,0.072119023
Eenkoi,1,1,50,3.605951158,0.02,0.072119023
English2,1,1,13,3.605951158,0.076923077,0.277380858
Ex,1,1,15,3.605951158,0.066666667,0.240396744
Ex-MLA,1,1,34,3.605951158,0.029411765,0.106057387
Expiry,1,1,7,3.605951158,0.142857143,0.51513588
Go,1,1,13,3.605951158,0.076923077,0.277380858
Govt,1,1,32,3.605951158,0.03125,0.112685974
H.S.,1,1,15,3.605951158,0.066666667,0.240396744
H.S.L.C,1,1,15,3.605951158,0.066666667,0.240396744
HALALA,1,1,6,3.605951158,0.166666667,0.60099186
HBS,2,2,19,3.304921162,0.105263158,0.347886438
Hello...,1,1,50,3.605951158,0.02,0.072119023
Himonto,1,1,32,3.605951158,0.03125,0.112685974
Hindu,1,1,25,3.605951158,0.04,0.144238046
I,6,5,75,2.906981153,0.08,0.232558492
IIT,1,1,20,3.605951158,0.05,0.180297558
Imdadul,1,1,31,3.605951158,0.032258065,0.116321005
Indian,1,1,7,3.605951158,0.142857143,0.51513588
Industry,1,1,6,3.605951158,0.166666667,0.60099186
Interview,1,1,12,3.605951158,0.083333333,0.30049593
Iran,1,1,7,3.605951158,0.142857143,0.51513588
Islam,1,1,31,3.605951158,0.032258065,0.116321005
J.S.B.,1,1,11,3.605951158,0.090909091,0.327813742
JCB,2,1,15,3.605951158,0.133333333,0.480793488
JSB,1,1,23,3.605951158,0.043478261,0.156780485
Jsb,1,1,26,3.605951158,0.038461538,0.138690429
Kla,1,1,18,3.605951158,0.055555556,0.20033062
LP,1,1,50,3.605951158,0.02,0.072119023
Love,1,1,52,3.605951158,0.019230769,0.069345215
MBখিনি,1,1,6,3.605951158,0.166666667,0.60099186
MGF,1,1,12,3.605951158,0.083333333,0.30049593
Media,3,3,29,3.128829903,0.103448276,0.323672059
Minister,1,1,17,3.605951158,0.058823529,0.212114774
Mr,2,2,49,3.304921162,0.040816327,0.134894741
Mzzza,1,1,17,3.605951158,0.058823529,0.212114774
NEWS,1,1,7,3.605951158,0.142857143,0.51513588
NRC,3,3,53,3.128829903,0.056603774,0.177103579
News,2,2,21,3.304921162,0.095238095,0.314754396
NewsLive,1,1,10,3.605951158,0.1,0.360595116
No,1,1,16,3.605951158,0.0625,0.225371947
OPEN,1,1,11,3.605951158,0.090909091,0.327813742
PM,1,1,9,3.605951158,0.111111111,0.40066124
PORN,1,1,26,3.605951158,0.038461538,0.138690429
Party,1,1,7,3.605951158,0.142857143,0.51513588
Police,2,2,71,3.304921162,0.028169014,0.093096371
Popular,1,1,8,3.605951158,0.125,0.450743895
Porn,2,2,32,3.304921162,0.0625,0.206557573
PraNk,1,1,19,3.605951158,0.052631579,0.189786903
Prubali,1,1,15,3.605951158,0.066666667,0.240396744
RC,1,1,25,3.605951158,0.04,0.144238046
RD,1,1,14,3.605951158,0.071428571,0.25756794
RSS,1,1,12,3.605951158,0.083333333,0.30049593
Raja,1,1,19,3.605951158,0.052631579,0.189786903
Ram,1,1,19,3.605951158,0.052631579,0.189786903
Roast,1,1,10,3.605951158,0.1,0.360595116
Roasting,1,1,11,3.605951158,0.090909091,0.327813742
SOP,1,1,15,3.605951158,0.066666667,0.240396744
STAR,1,1,26,3.605951158,0.038461538,0.138690429
SUPERHIT,1,1,13,3.605951158,0.076923077,0.277380858
"Shopping,",1,1,10,3.605951158,0.1,0.360595116
Simanta,1,1,19,3.605951158,0.052631579,0.189786903
Simple,2,2,29,3.304921162,0.068965517,0.227925597
Social,1,1,8,3.605951158,0.125,0.450743895
South,1,1,7,3.605951158,0.142857143,0.51513588
TEX,1,1,20,3.605951158,0.05,0.180297558
TRP,5,5,56,2.906981153,0.089285714,0.259551889
TV,2,2,22,3.304921162,0.090909091,0.300447378
Telecast,1,1,14,3.605951158,0.071428571,0.25756794
There,1,1,15,3.605951158,0.066666667,0.240396744
Travel,1,1,10,3.605951158,0.1,0.360595116
U1,1,1,29,3.605951158,0.034482759,0.124343143
United,1,1,8,3.605951158,0.125,0.450743895
VCD,2,1,17,3.605951158,0.117647059,0.424229548
Video,1,1,23,3.605951158,0.043478261,0.156780485
Voice,1,1,6,3.605951158,0.166666667,0.60099186
YouTube,1,1,26,3.605951158,0.038461538,0.138690429
YouTubeচেনেল,1,1,7,3.605951158,0.142857143,0.51513588
Zubeen,3,3,93,3.128829903,0.032258065,0.100929997
_অসমত,1,1,14,3.605951158,0.071428571,0.25756794
a,1,1,10,3.605951158,0.1,0.360595116
aap,1,1,18,3.605951158,0.055555556,0.20033062
act,1,1,25,3.605951158,0.04,0.144238046
action,1,1,9,3.605951158,0.111111111,0.40066124
advice,1,1,50,3.605951158,0.02,0.072119023
agp,1,1,33,3.605951158,0.03030303,0.109271247
aiudfক,1,1,13,3.605951158,0.076923077,0.277380858
akhono,1,1,20,3.605951158,0.05,0.180297558
ali,1,1,12,3.605951158,0.083333333,0.30049593
ali.,1,1,20,3.605951158,0.05,0.180297558
aru,1,1,10,3.605951158,0.1,0.360595116
ase,1,1,20,3.605951158,0.05,0.180297558
back,1,1,13,3.605951158,0.076923077,0.277380858
bagrund,1,1,12,3.605951158,0.083333333,0.30049593
bari,1,1,5,3.605951158,0.2,0.721190232
best,1,1,9,3.605951158,0.111111111,0.40066124
beya,1,1,9,3.605951158,0.111111111,0.40066124
bf,1,1,28,3.605951158,0.035714286,0.12878397
bgp,1,1,33,3.605951158,0.03030303,0.109271247
big,3,3,67,3.128829903,0.044776119,0.140096861
birthday,2,2,42,3.304921162,0.047619048,0.157377198
bjp,4,4,52,3.003891166,0.076923077,0.231068551
bjpয়ে,1,1,27,3.605951158,0.037037037,0.133553747
bl,1,1,5,3.605951158,0.2,0.721190232
black,1,1,10,3.605951158,0.1,0.360595116
black&white,1,1,11,3.605951158,0.090909091,0.327813742
bodyguard,1,1,8,3.605951158,0.125,0.450743895
bosor,1,1,18,3.605951158,0.055555556,0.20033062
bozai,1,1,18,3.605951158,0.055555556,0.20033062
bro,1,1,9,3.605951158,0.111111111,0.40066124
bus,1,1,50,3.605951158,0.02,0.072119023
business,1,1,16,3.605951158,0.0625,0.225371947
busy,1,1,50,3.605951158,0.02,0.072119023
but,1,1,15,3.605951158,0.066666667,0.240396744
caa,1,1,13,3.605951158,0.076923077,0.277380858
call,5,3,89,3.128829903,0.056179775,0.175776961
case,1,1,14,3.605951158,0.071428571,0.25756794
caste,1,1,19,3.605951158,0.052631579,0.189786903
channel,1,1,11,3.605951158,0.090909091,0.327813742
china,1,1,17,3.605951158,0.058823529,0.212114774
cm,1,1,9,3.605951158,0.111111111,0.40066124
coment,1,1,15,3.605951158,0.066666667,0.240396744
comment,4,4,56,3.003891166,0.071428571,0.214563655
concept,2,2,24,3.304921162,0.083333333,0.275410097
"content,",1,1,4,3.605951158,0.25,0.901487789
counting,1,1,16,3.605951158,0.0625,0.225371947
da,1,1,30,3.605951158,0.033333333,0.120198372
dada,1,1,22,3.605951158,0.045454545,0.163906871
dah,1,1,19,3.605951158,0.052631579,0.189786903
dangerous,1,1,10,3.605951158,0.1,0.360595116
date,1,1,7,3.605951158,0.142857143,0.51513588
de,1,1,20,3.605951158,0.05,0.180297558
delivery,1,1,24,3.605951158,0.041666667,0.150247965
demesh,1,1,15,3.605951158,0.066666667,0.240396744
designer,2,2,18,3.304921162,0.111111111,0.367213462
develpoment,1,1,9,3.605951158,0.111111111,0.40066124
dexabo,1,1,10,3.605951158,0.1,0.360595116
dialogue,1,1,21,3.605951158,0.047619048,0.17171196
dibrugarhত,1,1,19,3.605951158,0.052631579,0.189786903
divorcee,1,1,9,3.605951158,0.111111111,0.40066124
divorse,2,1,22,3.605951158,0.090909091,0.327813742
diye,1,1,15,3.605951158,0.066666667,0.240396744
dresses,1,1,16,3.605951158,0.0625,0.225371947
duty,1,1,50,3.605951158,0.02,0.072119023
e,1,1,5,3.605951158,0.2,0.721190232
enjoy,1,1,12,3.605951158,0.083333333,0.30049593
enkoi,1,1,50,3.605951158,0.02,0.072119023
evm,1,1,19,3.605951158,0.052631579,0.189786903
exam,2,1,24,3.605951158,0.083333333,0.30049593
fassion,1,1,27,3.605951158,0.037037037,0.133553747
fb,1,1,15,3.605951158,0.066666667,0.240396744
free,3,2,31,3.304921162,0.096774194,0.31983108
frnd,1,1,9,3.605951158,0.111111111,0.40066124
frnd-best,1,1,9,3.605951158,0.111111111,0.40066124
gale,1,1,18,3.605951158,0.055555556,0.20033062
"gedha,enkua",1,1,32,3.605951158,0.03125,0.112685974
goal:,1,1,23,3.605951158,0.043478261,0.156780485
goli,1,1,20,3.605951158,0.05,0.180297558
gom,1,1,15,3.605951158,0.066666667,0.240396744
good.,1,1,18,3.605951158,0.055555556,0.20033062
govt,2,1,32,3.605951158,0.0625,0.225371947
hai.,1,1,20,3.605951158,0.05,0.180297558
he,1,1,10,3.605951158,0.1,0.360595116
higher,1,1,19,3.605951158,0.052631579,0.189786903
hota,1,1,20,3.605951158,0.05,0.180297558
i,1,1,47,3.605951158,0.021276596,0.076722365
ikগাদীত,1,1,26,3.605951158,0.038461538,0.138690429
importance,1,1,10,3.605951158,0.1,0.360595116
independent,1,1,12,3.605951158,0.083333333,0.30049593
insulant.....,1,1,50,3.605951158,0.02,0.072119023
insult,2,2,28,3.304921162,0.071428571,0.236065797
interesting,1,1,13,3.605951158,0.076923077,0.277380858
interview,1,1,20,3.605951158,0.05,0.180297558
is,2,2,25,3.304921162,0.08,0.264393693
jalakia,1,1,15,3.605951158,0.066666667,0.240396744
"jew,christianity,Budhism",1,1,5,3.605951158,0.2,0.721190232
job,2,2,82,3.304921162,0.024390244,0.080607833
jsb,2,2,33,3.304921162,0.060606061,0.200298252
judgement,1,1,6,3.605951158,0.166666667,0.60099186
judi,1,1,20,3.605951158,0.05,0.180297558
karo,1,1,6,3.605951158,0.166666667,0.60099186
kela,1,1,5,3.605951158,0.2,0.721190232
ketiyba,1,1,32,3.605951158,0.03125,0.112685974
khene,1,1,50,3.605951158,0.02,0.072119023
khojuti,1,1,15,3.605951158,0.066666667,0.240396744
kidnap,1,1,9,3.605951158,0.111111111,0.40066124
kiy,1,1,11,3.605951158,0.090909091,0.327813742
kla,1,1,7,3.605951158,0.142857143,0.51513588
knowledge,1,1,10,3.605951158,0.1,0.360595116
krishna,1,1,21,3.605951158,0.047619048,0.17171196
kutta,1,1,20,3.605951158,0.05,0.180297558
l,3,2,32,3.304921162,0.09375,0.309836359
lagisy,1,1,50,3.605951158,0.02,0.072119023
leura,1,1,9,3.605951158,0.111111111,0.40066124
like,2,2,14,3.304921162,0.142857143,0.472131595
little,1,1,10,3.605951158,0.1,0.360595116
live,1,1,31,3.605951158,0.032258065,0.116321005
manho,2,1,50,3.605951158,0.04,0.144238046
marketing,1,1,13,3.605951158,0.076923077,0.277380858
marriage,1,1,25,3.605951158,0.04,0.144238046
mdiat,1,1,28,3.605951158,0.035714286,0.12878397
me,1,1,20,3.605951158,0.05,0.180297558
mean,1,1,47,3.605951158,0.021276596,0.076722365
media,1,1,10,3.605951158,0.1,0.360595116
mistake...,1,1,50,3.605951158,0.02,0.072119023
mohan,1,1,19,3.605951158,0.052631579,0.189786903
mosti,1,1,6,3.605951158,0.166666667,0.60099186
movie,2,2,19,3.304921162,0.105263158,0.347886438
murder,1,1,9,3.605951158,0.111111111,0.40066124
music,1,1,12,3.605951158,0.083333333,0.30049593
muslim,1,1,12,3.605951158,0.083333333,0.30049593
naqative,1,1,7,3.605951158,0.142857143,0.51513588
neglect,1,1,19,3.605951158,0.052631579,0.189786903
neki..,1,1,50,3.605951158,0.02,0.072119023
neki....,1,1,50,3.605951158,0.02,0.072119023
network,1,1,13,3.605951158,0.076923077,0.277380858
news,6,6,88,2.827799907,0.068181818,0.192804539
next,1,1,15,3.605951158,0.066666667,0.240396744
nitumoni,1,1,20,3.605951158,0.05,0.180297558
no,1,1,15,3.605951158,0.066666667,0.240396744
nohoi,3,2,55,3.304921162,0.054545455,0.180268427
nokory,1,1,50,3.605951158,0.02,0.072119023
nomora,1,1,11,3.605951158,0.090909091,0.327813742
oasis,1,1,21,3.605951158,0.047619048,0.17171196
